idx,code,ast,label
0,"def sum_of_array(arr):
    return sum(arr)",module::left function_definition::left def sum_of_array parameters::left ( arr ) parameters::right : block::left return_statement::left return call::left sum argument_list::left ( arr ) argument_list::right call::right return_statement::right block::right function_definition::right module::right,lm
1,"def find_missing(ar,N): 
    l = 0
    r = N - 1
    while (l <= r):  
        mid = (l + r) / 2
        mid= int (mid) 
        if (ar[mid] != mid + 1 and ar[mid - 1] == mid): 
            return (mid + 1)  
        elif (ar[mid] != mid + 1): 
            r = mid - 1 
        else: 
            l = mid + 1
    return (-1) ","module::left function_definition::left def find_missing parameters::left ( ar , N ) parameters::right : block::left expression_statement::left assignment::left l = 0 assignment::right expression_statement::right expression_statement::left assignment::left r = binary_operator::left N - 1 binary_operator::right assignment::right expression_statement::right while_statement::left while parenthesized_expression::left ( comparison_operator::left l <= r comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left assignment::left mid = binary_operator::left parenthesized_expression::left ( binary_operator::left l + r binary_operator::right ) parenthesized_expression::right / 2 binary_operator::right assignment::right expression_statement::right expression_statement::left assignment::left mid = call::left int argument_list::left ( mid ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if parenthesized_expression::left ( boolean_operator::left comparison_operator::left subscript::left ar [ mid ] subscript::right != binary_operator::left mid + 1 binary_operator::right comparison_operator::right and comparison_operator::left subscript::left ar [ binary_operator::left mid - 1 binary_operator::right ] subscript::right == mid comparison_operator::right boolean_operator::right ) parenthesized_expression::right : block::left return_statement::left return parenthesized_expression::left ( binary_operator::left mid + 1 binary_operator::right ) parenthesized_expression::right return_statement::right block::right elif_clause::left elif parenthesized_expression::left ( comparison_operator::left subscript::left ar [ mid ] subscript::right != binary_operator::left mid + 1 binary_operator::right comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left assignment::left r = binary_operator::left mid - 1 binary_operator::right assignment::right expression_statement::right block::right elif_clause::right else_clause::left else : block::left expression_statement::left assignment::left l = binary_operator::left mid + 1 binary_operator::right assignment::right expression_statement::right block::right else_clause::right if_statement::right block::right while_statement::right return_statement::left return parenthesized_expression::left ( unary_operator::left - 1 unary_operator::right ) parenthesized_expression::right return_statement::right block::right function_definition::right module::right",human
2,"def extract_unique(test_dict):
  res = list(sorted({ele for val in test_dict.values() for ele in val}))
  return res",module::left function_definition::left def extract_unique parameters::left ( test_dict ) parameters::right : block::left expression_statement::left assignment::left res = call::left list argument_list::left ( call::left sorted argument_list::left ( set_comprehension::left { ele for_in_clause::left for val in call::left attribute::left test_dict . values attribute::right argument_list::left ( ) argument_list::right call::right for_in_clause::right for_in_clause::left for ele in val for_in_clause::right } set_comprehension::right ) argument_list::right call::right ) argument_list::right call::right assignment::right expression_statement::right return_statement::left return res return_statement::right block::right function_definition::right module::right,human
3,"def is_subset(arr1, m, arr2, n): 
	hashset = set() 
	for i in range(0, m): 
		hashset.add(arr1[i]) 
	for i in range(0, n): 
		if arr2[i] in hashset: 
			continue
		else: 
			return False
	return True		","module::left function_definition::left def is_subset parameters::left ( arr1 , m , arr2 , n ) parameters::right : block::left expression_statement::left assignment::left hashset = call::left set argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right for_statement::left for i in call::left range argument_list::left ( 0 , m ) argument_list::right call::right : block::left expression_statement::left call::left attribute::left hashset . add attribute::right argument_list::left ( subscript::left arr1 [ i ] subscript::right ) argument_list::right call::right expression_statement::right block::right for_statement::right for_statement::left for i in call::left range argument_list::left ( 0 , n ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left subscript::left arr2 [ i ] subscript::right in hashset comparison_operator::right : block::left continue_statement::left continue continue_statement::right block::right else_clause::left else : block::left return_statement::left return False return_statement::right block::right else_clause::right if_statement::right block::right for_statement::right return_statement::left return True return_statement::right block::right function_definition::right module::right",human
4,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')","module::left import_statement::left import dotted_name::left re dotted_name::right import_statement::right function_definition::left def text_lowercase_underscore parameters::left ( text ) parameters::right : block::left expression_statement::left assignment::left patterns = string::left ' ^[a-z]+_[a-z]+$ ' string::right assignment::right expression_statement::right if_statement::left if call::left attribute::left re . search attribute::right argument_list::left ( patterns , text ) argument_list::right call::right : block::left return_statement::left return string::left ' Found a match! ' string::right return_statement::right block::right else_clause::left else : block::left return_statement::left return parenthesized_expression::left ( string::left ' Not matched! ' string::right ) parenthesized_expression::right return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
5,"import re 
def match(text): 
		pattern = '[A-Z]+[a-z]+$'
		if re.search(pattern, text): 
				return('Yes') 
		else: 
				return('No') ","module::left import_statement::left import dotted_name::left re dotted_name::right import_statement::right function_definition::left def match parameters::left ( text ) parameters::right : block::left expression_statement::left assignment::left pattern = string::left ' [A-Z]+[a-z]+$ ' string::right assignment::right expression_statement::right if_statement::left if call::left attribute::left re . search attribute::right argument_list::left ( pattern , text ) argument_list::right call::right : block::left return_statement::left return parenthesized_expression::left ( string::left ' Yes ' string::right ) parenthesized_expression::right return_statement::right block::right else_clause::left else : block::left return_statement::left return parenthesized_expression::left ( string::left ' No ' string::right ) parenthesized_expression::right return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
6,"def is_dict_empty(d):
    return not bool(d)",module::left function_definition::left def is_dict_empty parameters::left ( d ) parameters::right : block::left return_statement::left return not_operator::left not call::left bool argument_list::left ( d ) argument_list::right call::right not_operator::right return_statement::right block::right function_definition::right module::right,lm
7,"def is_divisor_count_even(number):
    divisor_count = 0
    for i in range(1, number + 1):
        if number % i == 0:
            divisor_count += 1
    return divisor_count % 2 == 0","module::left function_definition::left def is_divisor_count_even parameters::left ( number ) parameters::right : block::left expression_statement::left assignment::left divisor_count = 0 assignment::right expression_statement::right for_statement::left for i in call::left range argument_list::left ( 1 , binary_operator::left number + 1 binary_operator::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left number % i binary_operator::right == 0 comparison_operator::right : block::left expression_statement::left augmented_assignment::left divisor_count += 1 augmented_assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return comparison_operator::left binary_operator::left divisor_count % 2 binary_operator::right == 0 comparison_operator::right return_statement::right block::right function_definition::right module::right",lm
8,"def sum_of_positives(numbers):
    return sum(filter(lambda x: x > 0, numbers))","module::left function_definition::left def sum_of_positives parameters::left ( numbers ) parameters::right : block::left return_statement::left return call::left sum argument_list::left ( call::left filter argument_list::left ( lambda::left lambda lambda_parameters::left x lambda_parameters::right : comparison_operator::left x > 0 comparison_operator::right lambda::right , numbers ) argument_list::right call::right ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",lm
9,"import re
def is_valid_URL(str):
	regex = (""((http|https)://)(www.)?"" +
			""[a-zA-Z0-9@:%._\\+~#?&//=]"" +
			""{2,256}\\.[a-z]"" +
			""{2,6}\\b([-a-zA-Z0-9@:%"" +
			""._\\+~#?&//=]*)"")
	p = re.compile(regex)
	if (str == None):
		return False
	if(re.search(p, str)):
		return True
	else:
		return False","module::left import_statement::left import dotted_name::left re dotted_name::right import_statement::right function_definition::left def is_valid_URL parameters::left ( str ) parameters::right : block::left expression_statement::left assignment::left regex = parenthesized_expression::left ( binary_operator::left binary_operator::left binary_operator::left binary_operator::left string::left "" ((http|https)://)(www.)? "" string::right + string::left "" string_content::left \\ string_content::right "" string::right binary_operator::right + string::left "" string_content::left \\ string_content::right "" string::right binary_operator::right + string::left "" string_content::left \\ string_content::right "" string::right binary_operator::right + string::left "" string_content::left \\ string_content::right "" string::right binary_operator::right ) parenthesized_expression::right assignment::right expression_statement::right expression_statement::left assignment::left p = call::left attribute::left re . compile attribute::right argument_list::left ( regex ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if parenthesized_expression::left ( comparison_operator::left str == None comparison_operator::right ) parenthesized_expression::right : block::left return_statement::left return False return_statement::right block::right if_statement::right if_statement::left if parenthesized_expression::left ( call::left attribute::left re . search attribute::right argument_list::left ( p , str ) argument_list::right call::right ) parenthesized_expression::right : block::left return_statement::left return True return_statement::right block::right else_clause::left else : block::left return_statement::left return False return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
