idx,code,ast,label
0,"def largest_divisor(n: int) -> int:
    for i in reversed(range(n)):
        if n % i == 0:
            return i
",module::left function_definition::left def largest_divisor parameters::left ( typed_parameter::left n : type::left int type::right typed_parameter::right ) parameters::right -> type::left int type::right : block::left for_statement::left for i in call::left reversed argument_list::left ( call::left range argument_list::left ( n ) argument_list::right call::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left n % i binary_operator::right == 0 comparison_operator::right : block::left return_statement::left return i return_statement::right block::right if_statement::right block::right for_statement::right block::right function_definition::right module::right,human
1,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
","module::left import_from_statement::left from dotted_name::left typing dotted_name::right import dotted_name::left List dotted_name::right import_from_statement::right function_definition::left def intersperse parameters::left ( typed_parameter::left numbers : type::left generic_type::left List type_parameter::left [ type::left int type::right ] type_parameter::right generic_type::right type::right typed_parameter::right , typed_parameter::left delimeter : type::left int type::right typed_parameter::right ) parameters::right -> type::left generic_type::left List type_parameter::left [ type::left int type::right ] type_parameter::right generic_type::right type::right : block::left if_statement::left if not_operator::left not numbers not_operator::right : block::left return_statement::left return list::left [ ] list::right return_statement::right block::right if_statement::right expression_statement::left assignment::left result = list::left [ ] list::right assignment::right expression_statement::right for_statement::left for n in subscript::left numbers [ slice::left : unary_operator::left - 1 unary_operator::right slice::right ] subscript::right : block::left expression_statement::left call::left attribute::left result . append attribute::right argument_list::left ( n ) argument_list::right call::right expression_statement::right expression_statement::left call::left attribute::left result . append attribute::right argument_list::left ( delimeter ) argument_list::right call::right expression_statement::right block::right for_statement::right expression_statement::left call::left attribute::left result . append attribute::right argument_list::left ( subscript::left numbers [ unary_operator::left - 1 unary_operator::right ] subscript::right ) argument_list::right call::right expression_statement::right return_statement::left return result return_statement::right block::right function_definition::right module::right",human
2,"def x_or_y(n, x, y):
    if n == 1:
        return y
    for i in range(2, n):
        if n % i == 0:
            return y
            break
    else:
        return x
","module::left function_definition::left def x_or_y parameters::left ( n , x , y ) parameters::right : block::left if_statement::left if comparison_operator::left n == 1 comparison_operator::right : block::left return_statement::left return y return_statement::right block::right if_statement::right for_statement::left for i in call::left range argument_list::left ( 2 , n ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left n % i binary_operator::right == 0 comparison_operator::right : block::left return_statement::left return y return_statement::right break_statement::left break break_statement::right block::right if_statement::right block::right else_clause::left else : block::left return_statement::left return x return_statement::right block::right else_clause::right for_statement::right block::right function_definition::right module::right",human
3,"def will_it_fly(q, w):
    return q == q[::-1] and sum(q) <= w","module::left function_definition::left def will_it_fly parameters::left ( q , w ) parameters::right : block::left return_statement::left return boolean_operator::left comparison_operator::left q == subscript::left q [ slice::left : : unary_operator::left - 1 unary_operator::right slice::right ] subscript::right comparison_operator::right and comparison_operator::left call::left sum argument_list::left ( q ) argument_list::right call::right <= w comparison_operator::right boolean_operator::right return_statement::right block::right function_definition::right module::right",lm
4,"def make_a_pile(n):
    return [n + 2*i for i in range(n)]
",module::left function_definition::left def make_a_pile parameters::left ( n ) parameters::right : block::left return_statement::left return list_comprehension::left [ binary_operator::left n + binary_operator::left 2 * i binary_operator::right binary_operator::right for_in_clause::left for i in call::left range argument_list::left ( n ) argument_list::right call::right for_in_clause::right ] list_comprehension::right return_statement::right block::right function_definition::right module::right,human
5,"def iscube(a):
    a = abs(a)
    return int(round(a ** (1. / 3))) ** 3 == a
",module::left function_definition::left def iscube parameters::left ( a ) parameters::right : block::left expression_statement::left assignment::left a = call::left abs argument_list::left ( a ) argument_list::right call::right assignment::right expression_statement::right return_statement::left return comparison_operator::left binary_operator::left call::left int argument_list::left ( call::left round argument_list::left ( binary_operator::left a ** parenthesized_expression::left ( binary_operator::left 1. / 3 binary_operator::right ) parenthesized_expression::right binary_operator::right ) argument_list::right call::right ) argument_list::right call::right ** 3 binary_operator::right == a comparison_operator::right return_statement::right block::right function_definition::right module::right,human
6,"def get_positive(l: list):
    return [n for n in l if n > 0]",module::left function_definition::left def get_positive parameters::left ( typed_parameter::left l : type::left list type::right typed_parameter::right ) parameters::right : block::left return_statement::left return list_comprehension::left [ n for_in_clause::left for n in l for_in_clause::right if_clause::left if comparison_operator::left n > 0 comparison_operator::right if_clause::right ] list_comprehension::right return_statement::right block::right function_definition::right module::right,lm
7,"def car_race_collision(n: int):
    return n**2
",module::left function_definition::left def car_race_collision parameters::left ( typed_parameter::left n : type::left int type::right typed_parameter::right ) parameters::right : block::left return_statement::left return binary_operator::left n ** 2 binary_operator::right return_statement::right block::right function_definition::right module::right,human
8,"def is_nested(string):
    balance = 0
    nested = False
    for char in string:
        if char == '[':
            balance += 1
        elif char == ']':
            balance -= 1
        if balance > 1:
            nested = True
        if balance < 0:  # Early exit for invalid sequences
            return False
    return nested and balance == 0",module::left function_definition::left def is_nested parameters::left ( string ) parameters::right : block::left expression_statement::left assignment::left balance = 0 assignment::right expression_statement::right expression_statement::left assignment::left nested = False assignment::right expression_statement::right for_statement::left for char in string : block::left if_statement::left if comparison_operator::left char == string::left ' [ ' string::right comparison_operator::right : block::left expression_statement::left augmented_assignment::left balance += 1 augmented_assignment::right expression_statement::right block::right elif_clause::left elif comparison_operator::left char == string::left ' ] ' string::right comparison_operator::right : block::left expression_statement::left augmented_assignment::left balance -= 1 augmented_assignment::right expression_statement::right block::right elif_clause::right if_statement::right if_statement::left if comparison_operator::left balance > 1 comparison_operator::right : block::left expression_statement::left assignment::left nested = True assignment::right expression_statement::right block::right if_statement::right if_statement::left if comparison_operator::left balance < 0 comparison_operator::right : # Early exit for invalid sequences block::left return_statement::left return False return_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return boolean_operator::left nested and comparison_operator::left balance == 0 comparison_operator::right boolean_operator::right return_statement::right block::right function_definition::right module::right,lm
9,"def fruit_distribution(s,n):
    lis = list()
    for i in s.split(' '):
        if i.isdigit():
            lis.append(int(i))
    return n - sum(lis)
","module::left function_definition::left def fruit_distribution parameters::left ( s , n ) parameters::right : block::left expression_statement::left assignment::left lis = call::left list argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right for_statement::left for i in call::left attribute::left s . split attribute::right argument_list::left ( string::left '   ' string::right ) argument_list::right call::right : block::left if_statement::left if call::left attribute::left i . isdigit attribute::right argument_list::left ( ) argument_list::right call::right : block::left expression_statement::left call::left attribute::left lis . append attribute::right argument_list::left ( call::left int argument_list::left ( i ) argument_list::right call::right ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return binary_operator::left n - call::left sum argument_list::left ( lis ) argument_list::right call::right binary_operator::right return_statement::right block::right function_definition::right module::right",human
