idx,code,ast,label
line217_human,"def set_exception(self, exception):
        """"""Sets the exception of a ``Future.``""""""
        self.set_exc_info(
            (exception.__class__,
             exception,
             getattr(exception, '__traceback__', None)))
","module::left function_definition::left def set_exception parameters::left ( self , exception ) parameters::right : block::left expression_statement::left string::left """""" Sets the exception of a ``Future.`` """""" string::right expression_statement::right expression_statement::left call::left attribute::left self . set_exc_info attribute::right argument_list::left ( tuple::left ( attribute::left exception . __class__ attribute::right , exception , call::left getattr argument_list::left ( exception , string::left ' __traceback__ ' string::right , None ) argument_list::right call::right ) tuple::right ) argument_list::right call::right expression_statement::right block::right function_definition::right module::right",human
line217_lm,"def set_exception(self, exception):
        """"""Sets the exception of a ``Future.``""""""
        self.exception = exception
","module::left function_definition::left def set_exception parameters::left ( self , exception ) parameters::right : block::left expression_statement::left string::left """""" Sets the exception of a ``Future.`` """""" string::right expression_statement::right expression_statement::left assignment::left attribute::left self . exception attribute::right = exception assignment::right expression_statement::right block::right function_definition::right module::right",lm
line2922_human,"def read_var_int(file_obj):
    """"""Read a variable-length integer.

    Parameters
    ----------
    file_obj : file-like object
        The file to read from.

    Returns
    -------
    int
        the variable-length value read

    """"""
    # Read all bytes from here, stopping with the first one that does not have
    # the MSB set. Save the lower 7 bits, and keep stacking to the *left*.
    val = 0
    shift = 0
    while True:
        # Read next byte
        next_val = ord(file_obj.read(1))
        val |= ((next_val & 0x7F) << shift)
        shift += 7
        if not next_val & 0x80:
            break

    return val
","module::left function_definition::left def read_var_int parameters::left ( file_obj ) parameters::right : block::left expression_statement::left string::left """""" Read a variable-length integer.

    Parameters
    ----------
    file_obj : file-like object
        The file to read from.

    Returns
    -------
    int
        the variable-length value read

     """""" string::right expression_statement::right # Read all bytes from here, stopping with the first one that does not have # the MSB set. Save the lower 7 bits, and keep stacking to the *left*. expression_statement::left assignment::left val = 0 assignment::right expression_statement::right expression_statement::left assignment::left shift = 0 assignment::right expression_statement::right while_statement::left while True : # Read next byte block::left expression_statement::left assignment::left next_val = call::left ord argument_list::left ( call::left attribute::left file_obj . read attribute::right argument_list::left ( 1 ) argument_list::right call::right ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left augmented_assignment::left val |= parenthesized_expression::left ( binary_operator::left parenthesized_expression::left ( binary_operator::left next_val & 0x7F binary_operator::right ) parenthesized_expression::right << shift binary_operator::right ) parenthesized_expression::right augmented_assignment::right expression_statement::right expression_statement::left augmented_assignment::left shift += 7 augmented_assignment::right expression_statement::right if_statement::left if not_operator::left not binary_operator::left next_val & 0x80 binary_operator::right not_operator::right : block::left break_statement::left break break_statement::right block::right if_statement::right block::right while_statement::right return_statement::left return val return_statement::right block::right function_definition::right module::right",human
line2922_lm,"def read_var_int(file_obj):
    """"""Read a variable-length integer.

    Parameters
    ----------
    file_obj : file-like object
        The file to read from.

    Returns
    -------
    int
        the variable-length value read

    """"""
    result = 0
    shift = 0
    while True:
        byte = file_obj.read(1)
        if not byte:
            raise EOFError(""Unexpected EOF"")
        byte = ord(byte)
        result |= (byte & 0x7F) << shift
        if not byte & 0x80:
            return result
        shift += 7
","module::left function_definition::left def read_var_int parameters::left ( file_obj ) parameters::right : block::left expression_statement::left string::left """""" Read a variable-length integer.

    Parameters
    ----------
    file_obj : file-like object
        The file to read from.

    Returns
    -------
    int
        the variable-length value read

     """""" string::right expression_statement::right expression_statement::left assignment::left result = 0 assignment::right expression_statement::right expression_statement::left assignment::left shift = 0 assignment::right expression_statement::right while_statement::left while True : block::left expression_statement::left assignment::left byte = call::left attribute::left file_obj . read attribute::right argument_list::left ( 1 ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if not_operator::left not byte not_operator::right : block::left raise_statement::left raise call::left EOFError argument_list::left ( string::left "" Unexpected EOF "" string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right expression_statement::left assignment::left byte = call::left ord argument_list::left ( byte ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left augmented_assignment::left result |= binary_operator::left parenthesized_expression::left ( binary_operator::left byte & 0x7F binary_operator::right ) parenthesized_expression::right << shift binary_operator::right augmented_assignment::right expression_statement::right if_statement::left if not_operator::left not binary_operator::left byte & 0x80 binary_operator::right not_operator::right : block::left return_statement::left return result return_statement::right block::right if_statement::right expression_statement::left augmented_assignment::left shift += 7 augmented_assignment::right expression_statement::right block::right while_statement::right block::right function_definition::right module::right",lm
line2873_human,"def canonical_url(app, pagename, templatename, context, doctree):
    """"""Build the canonical URL for a page. Appends the path for the
    page to the base URL specified by the
    ``html_context[""canonical_url""]`` config and stores it in
    ``html_context[""page_canonical_url""]``.
    """"""
    base = context.get(""canonical_url"")

    if not base:
        return

    target = app.builder.get_target_uri(pagename)
    context[""page_canonical_url""] = base + target
","module::left function_definition::left def canonical_url parameters::left ( app , pagename , templatename , context , doctree ) parameters::right : block::left expression_statement::left string::left """""" Build the canonical URL for a page. Appends the path for the
    page to the base URL specified by the
    ``html_context[""canonical_url""]`` config and stores it in
    ``html_context[""page_canonical_url""]``.
     """""" string::right expression_statement::right expression_statement::left assignment::left base = call::left attribute::left context . get attribute::right argument_list::left ( string::left "" canonical_url "" string::right ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if not_operator::left not base not_operator::right : block::left return_statement::left return return_statement::right block::right if_statement::right expression_statement::left assignment::left target = call::left attribute::left attribute::left app . builder attribute::right . get_target_uri attribute::right argument_list::left ( pagename ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left assignment::left subscript::left context [ string::left "" page_canonical_url "" string::right ] subscript::right = binary_operator::left base + target binary_operator::right assignment::right expression_statement::right block::right function_definition::right module::right",human
line2873_lm,"def canonical_url(app, pagename, templatename, context, doctree):
    """"""Build the canonical URL for a page. Appends the path for the
    page to the base URL specified by the
    ``html_context[""canonical_url""]`` config and stores it in
    ``html_context[""page_canonical_url""]``.
    """"""
    # Get the canonical URL from the config
    canonical_url = app.config.html_context[""canonical_url""]
    # Get the path for the page
    path = doctree.get_path()
    # Append the path to the canonical URL
    page_canonical_url = canonical_url + path
    # Store the canonical URL in the context
    context[""page_canonical_url""] = page_canonical_url
","module::left function_definition::left def canonical_url parameters::left ( app , pagename , templatename , context , doctree ) parameters::right : block::left expression_statement::left string::left """""" Build the canonical URL for a page. Appends the path for the
    page to the base URL specified by the
    ``html_context[""canonical_url""]`` config and stores it in
    ``html_context[""page_canonical_url""]``.
     """""" string::right expression_statement::right # Get the canonical URL from the config expression_statement::left assignment::left canonical_url = subscript::left attribute::left attribute::left app . config attribute::right . html_context attribute::right [ string::left "" canonical_url "" string::right ] subscript::right assignment::right expression_statement::right # Get the path for the page expression_statement::left assignment::left path = call::left attribute::left doctree . get_path attribute::right argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right # Append the path to the canonical URL expression_statement::left assignment::left page_canonical_url = binary_operator::left canonical_url + path binary_operator::right assignment::right expression_statement::right # Store the canonical URL in the context expression_statement::left assignment::left subscript::left context [ string::left "" page_canonical_url "" string::right ] subscript::right = page_canonical_url assignment::right expression_statement::right block::right function_definition::right module::right",lm
line2766_human,"def param_keywords(self):
        """"""
        Return a dictionary containing items from the originally
        supplied dict_ whose names are parameters of the
        overridden object (i.e. not extra keywords/parameters).
        """"""
        return dict((key, self[key]) for key in self if key not in self.extra_keywords())
","module::left function_definition::left def param_keywords parameters::left ( self ) parameters::right : block::left expression_statement::left string::left """""" 
        Return a dictionary containing items from the originally
        supplied dict_ whose names are parameters of the
        overridden object (i.e. not extra keywords/parameters).
         """""" string::right expression_statement::right return_statement::left return call::left dict generator_expression::left ( tuple::left ( key , subscript::left self [ key ] subscript::right ) tuple::right for_in_clause::left for key in self for_in_clause::right if_clause::left if comparison_operator::left key not in call::left attribute::left self . extra_keywords attribute::right argument_list::left ( ) argument_list::right call::right comparison_operator::right if_clause::right ) generator_expression::right call::right return_statement::right block::right function_definition::right module::right",human
line2766_lm,"def param_keywords(self):
        """"""
        Return a dictionary containing items from the originally
        supplied dict_ whose names are parameters of the
        overridden object (i.e. not extra keywords/parameters).
        """"""
        return dict([(k, v) for k, v in self.dict_.items() if k in self.param_names])
","module::left function_definition::left def param_keywords parameters::left ( self ) parameters::right : block::left expression_statement::left string::left """""" 
        Return a dictionary containing items from the originally
        supplied dict_ whose names are parameters of the
        overridden object (i.e. not extra keywords/parameters).
         """""" string::right expression_statement::right return_statement::left return call::left dict argument_list::left ( list_comprehension::left [ tuple::left ( k , v ) tuple::right for_in_clause::left for pattern_list::left k , v pattern_list::right in call::left attribute::left attribute::left self . dict_ attribute::right . items attribute::right argument_list::left ( ) argument_list::right call::right for_in_clause::right if_clause::left if comparison_operator::left k in attribute::left self . param_names attribute::right comparison_operator::right if_clause::right ] list_comprehension::right ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",lm
line1981_human,"def _handle_retry(self, resp):
        """"""Handle any exceptions during API request or
        parsing its response status code.

        Parameters:
        resp: requests.Response instance obtained during concerning request
            or None, when request failed

        Returns: True if should retry our request or raises original Exception
        """"""
        exc_t, exc_v, exc_tb = sys.exc_info()

        if exc_t is None:
            raise TypeError('Must be called in except block.')

        retry_on_exc = tuple(
            (x for x in self._retry_on if inspect.isclass(x)))
        retry_on_codes = tuple(
            (x for x in self._retry_on if isinstance(x, int)))

        if issubclass(exc_t, ZendeskError):
            code = exc_v.error_code
            if exc_t not in retry_on_exc and code not in retry_on_codes:
                six.reraise(exc_t, exc_v, exc_tb)
        else:
            if not issubclass(exc_t, retry_on_exc):
                six.reraise(exc_t, exc_v, exc_tb)

        if resp is not None:
            try:
                retry_after = float(resp.headers.get('Retry-After', 0))
                time.sleep(retry_after)
            except (TypeError, ValueError):
                pass

        return True
","module::left function_definition::left def _handle_retry parameters::left ( self , resp ) parameters::right : block::left expression_statement::left string::left """""" Handle any exceptions during API request or
        parsing its response status code.

        Parameters:
        resp: requests.Response instance obtained during concerning request
            or None, when request failed

        Returns: True if should retry our request or raises original Exception
         """""" string::right expression_statement::right expression_statement::left assignment::left pattern_list::left exc_t , exc_v , exc_tb pattern_list::right = call::left attribute::left sys . exc_info attribute::right argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if comparison_operator::left exc_t is None comparison_operator::right : block::left raise_statement::left raise call::left TypeError argument_list::left ( string::left ' Must be called in except block. ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right expression_statement::left assignment::left retry_on_exc = call::left tuple argument_list::left ( generator_expression::left ( x for_in_clause::left for x in attribute::left self . _retry_on attribute::right for_in_clause::right if_clause::left if call::left attribute::left inspect . isclass attribute::right argument_list::left ( x ) argument_list::right call::right if_clause::right ) generator_expression::right ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left assignment::left retry_on_codes = call::left tuple argument_list::left ( generator_expression::left ( x for_in_clause::left for x in attribute::left self . _retry_on attribute::right for_in_clause::right if_clause::left if call::left isinstance argument_list::left ( x , int ) argument_list::right call::right if_clause::right ) generator_expression::right ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if call::left issubclass argument_list::left ( exc_t , ZendeskError ) argument_list::right call::right : block::left expression_statement::left assignment::left code = attribute::left exc_v . error_code attribute::right assignment::right expression_statement::right if_statement::left if boolean_operator::left comparison_operator::left exc_t not in retry_on_exc comparison_operator::right and comparison_operator::left code not in retry_on_codes comparison_operator::right boolean_operator::right : block::left expression_statement::left call::left attribute::left six . reraise attribute::right argument_list::left ( exc_t , exc_v , exc_tb ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right else_clause::left else : block::left if_statement::left if not_operator::left not call::left issubclass argument_list::left ( exc_t , retry_on_exc ) argument_list::right call::right not_operator::right : block::left expression_statement::left call::left attribute::left six . reraise attribute::right argument_list::left ( exc_t , exc_v , exc_tb ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right else_clause::right if_statement::right if_statement::left if comparison_operator::left resp is not None comparison_operator::right : block::left try_statement::left try : block::left expression_statement::left assignment::left retry_after = call::left float argument_list::left ( call::left attribute::left attribute::left resp . headers attribute::right . get attribute::right argument_list::left ( string::left ' Retry-After ' string::right , 0 ) argument_list::right call::right ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left call::left attribute::left time . sleep attribute::right argument_list::left ( retry_after ) argument_list::right call::right expression_statement::right block::right except_clause::left except tuple::left ( TypeError , ValueError ) tuple::right : block::left pass_statement::left pass pass_statement::right block::right except_clause::right try_statement::right block::right if_statement::right return_statement::left return True return_statement::right block::right function_definition::right module::right",human
line1981_lm,"def _handle_retry(self, resp):
        """"""Handle any exceptions during API request or
        parsing its response status code.

        Parameters:
        resp: requests.Response instance obtained during concerning request
            or None, when request failed

        Returns: True if should retry our request or raises original Exception
        """"""
        if resp is None:
            raise Exception('API request failed')

        if resp.status_code == 429:
            raise Exception('API request rate limit exceeded')

        if resp.status_code == 400:
            raise Exception('API request failed with status code 400')

        if resp.status_code == 401:
            raise Exception('API request failed with status code 401')

        if resp.status_code == 403:
            raise Exception('API request failed with status code 403')

        if resp.status_code == 404:
            raise Exception('API request failed with status code 404')

        if resp.status_code == 500:
            raise Exception('API request failed with status code 500')

        if resp.status_code == 502:
            raise Exception('API request failed with status code 502')

        if resp.status_code == 503:
            raise Exception('API request failed with status code 503')

        if resp.status_code == 504:
            raise Exception('API request failed with status code 504')

        if resp.status_code == 520:
            raise Exception('API request failed with status code 520')

        if resp.status_code == 521:
            raise Exception('API request failed with status code 521')

        if resp.status_code == 522:
            raise Exception('API request failed with status code 522')

        if resp.status_code == 523:
            raise Exception('API request failed with status code 523')

        if resp.status_code == 524:
            raise Exception('API request failed with status code 524')

        if resp.status_code == 525:
            raise Exception('API request failed with status code 525')

        if resp.status_code == 526:
            raise Exception('API request failed with status code 526')

        if resp.status_code == 527:
            raise Exception('API request failed with status code 527')

        return False
","module::left function_definition::left def _handle_retry parameters::left ( self , resp ) parameters::right : block::left expression_statement::left string::left """""" Handle any exceptions during API request or
        parsing its response status code.

        Parameters:
        resp: requests.Response instance obtained during concerning request
            or None, when request failed

        Returns: True if should retry our request or raises original Exception
         """""" string::right expression_statement::right if_statement::left if comparison_operator::left resp is None comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 429 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request rate limit exceeded ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 400 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 400 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 401 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 401 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 403 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 403 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 404 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 404 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 500 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 500 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 502 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 502 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 503 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 503 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 504 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 504 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 520 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 520 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 521 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 521 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 522 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 522 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 523 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 523 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 524 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 524 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 525 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 525 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 526 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 526 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right if_statement::left if comparison_operator::left attribute::left resp . status_code attribute::right == 527 comparison_operator::right : block::left raise_statement::left raise call::left Exception argument_list::left ( string::left ' API request failed with status code 527 ' string::right ) argument_list::right call::right raise_statement::right block::right if_statement::right return_statement::left return False return_statement::right block::right function_definition::right module::right",lm
