idx,code,new_code,ast,label
0,"def int_to_mini_roman(number):
    values = [
        1000, 900, 500, 400, 100,
        90, 50, 40, 10, 9, 5, 4, 1
    ]
    roman_values = [
        ""m"", ""cm"", ""d"", ""cd"", ""c""
        ""xc"", ""l"", ""xl"", ""x"", ""ix"", ""v"", ""iv"", ""i""
    ]
    roman_number = ''
    i = 0
    while number > 0:
        for _ in range(number // values[i]):
            roman_number += roman_values[i]
            number -= values[i]
        i += 1
    return roman_number","def int_to_mini_roman(var_1):
    var_2 = [
        1000, 900, 500, 400, 100,
        90, 50, 40, 10, 9, 5, 4, 1
    ]
    var_3 = [
        ""m"", ""cm"", ""d"", ""cd"", ""c""
        ""xc"", ""l"", ""xl"", ""x"", ""ix"", ""v"", ""iv"", ""i""
    ]
    var_4 = ''
    var_5 = 0
    while var_1 > 0:
        for var_6 in range(var_1 // var_2[var_5]):
            var_4 += var_3[var_5]
            var_1 -= var_2[var_5]
        var_5 += 1
    return var_4","module::left function_definition::left def int_to_mini_roman parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = list::left [ 1000 , 900 , 500 , 400 , 100 , 90 , 50 , 40 , 10 , 9 , 5 , 4 , 1 ] list::right assignment::right expression_statement::right expression_statement::left assignment::left var_3 = list::left [ string::left "" m "" string::right , string::left "" cm "" string::right , string::left "" d "" string::right , string::left "" cd "" string::right , concatenated_string::left string::left "" c "" string::right string::left "" xc "" string::right concatenated_string::right , string::left "" l "" string::right , string::left "" xl "" string::right , string::left "" x "" string::right , string::left "" ix "" string::right , string::left "" v "" string::right , string::left "" iv "" string::right , string::left "" i "" string::right ] list::right assignment::right expression_statement::right expression_statement::left assignment::left var_4 = string::left ' ' string::right assignment::right expression_statement::right expression_statement::left assignment::left var_5 = 0 assignment::right expression_statement::right while_statement::left while comparison_operator::left var_1 > 0 comparison_operator::right : block::left for_statement::left for var_6 in call::left range argument_list::left ( binary_operator::left var_1 // subscript::left var_2 [ var_5 ] subscript::right binary_operator::right ) argument_list::right call::right : block::left expression_statement::left augmented_assignment::left var_4 += subscript::left var_3 [ var_5 ] subscript::right augmented_assignment::right expression_statement::right expression_statement::left augmented_assignment::left var_1 -= subscript::left var_2 [ var_5 ] subscript::right augmented_assignment::right expression_statement::right block::right for_statement::right expression_statement::left augmented_assignment::left var_5 += 1 augmented_assignment::right expression_statement::right block::right while_statement::right return_statement::left return var_4 return_statement::right block::right function_definition::right module::right",lm
1,"def words_in_sentence(sentence):

    def is_prime(n):
        if n <= 1:
            return False
        if n <= 3:
            return True
        if n % 2 == 0 or n % 3 == 0:
            return False
        i = 5
        while i * i <= n:
            if n % i == 0 or n % (i + 2) == 0:
                return False
            i += 6
        return True

    words = sentence.split()
    new_sentence = """"
    for word in words:
        if is_prime(len(word)):
            new_sentence += word + "" ""

    return new_sentence.strip()","def words_in_sentence(var_1):

    def is_prime(var_2):
        if var_2 <= 1:
            return False
        if var_2 <= 3:
            return True
        if var_2 % 2 == 0 or var_2 % 3 == 0:
            return False
        var_3 = 5
        while var_3 * var_3 <= var_2:
            if var_2 % var_3 == 0 or var_2 % (var_3 + 2) == 0:
                return False
            var_3 += 6
        return True

    var_4 = var_1.split()
    var_5 = """"
    for var_6 in var_4:
        if is_prime(len(var_6)):
            var_5 += var_6 + "" ""

    return var_5.strip()","module::left function_definition::left def words_in_sentence parameters::left ( var_1 ) parameters::right : block::left function_definition::left def is_prime parameters::left ( var_2 ) parameters::right : block::left if_statement::left if comparison_operator::left var_2 <= 1 comparison_operator::right : block::left return_statement::left return False return_statement::right block::right if_statement::right if_statement::left if comparison_operator::left var_2 <= 3 comparison_operator::right : block::left return_statement::left return True return_statement::right block::right if_statement::right if_statement::left if boolean_operator::left comparison_operator::left binary_operator::left var_2 % 2 binary_operator::right == 0 comparison_operator::right or comparison_operator::left binary_operator::left var_2 % 3 binary_operator::right == 0 comparison_operator::right boolean_operator::right : block::left return_statement::left return False return_statement::right block::right if_statement::right expression_statement::left assignment::left var_3 = 5 assignment::right expression_statement::right while_statement::left while comparison_operator::left binary_operator::left var_3 * var_3 binary_operator::right <= var_2 comparison_operator::right : block::left if_statement::left if boolean_operator::left comparison_operator::left binary_operator::left var_2 % var_3 binary_operator::right == 0 comparison_operator::right or comparison_operator::left binary_operator::left var_2 % parenthesized_expression::left ( binary_operator::left var_3 + 2 binary_operator::right ) parenthesized_expression::right binary_operator::right == 0 comparison_operator::right boolean_operator::right : block::left return_statement::left return False return_statement::right block::right if_statement::right expression_statement::left augmented_assignment::left var_3 += 6 augmented_assignment::right expression_statement::right block::right while_statement::right return_statement::left return True return_statement::right block::right function_definition::right expression_statement::left assignment::left var_4 = call::left attribute::left var_1 . split attribute::right argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left assignment::left var_5 = string::left "" "" string::right assignment::right expression_statement::right for_statement::left for var_6 in var_4 : block::left if_statement::left if call::left is_prime argument_list::left ( call::left len argument_list::left ( var_6 ) argument_list::right call::right ) argument_list::right call::right : block::left expression_statement::left augmented_assignment::left var_5 += binary_operator::left var_6 + string::left ""   "" string::right binary_operator::right augmented_assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return call::left attribute::left var_5 . strip attribute::right argument_list::left ( ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",lm
2,"def sort_third(l: list):
    """"""This function takes a list l and returns a list l' such that
    l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal
    to the values of the corresponding indicies of l, but sorted.
    >>> sort_third([1, 2, 3])
    [1, 2, 3]
    >>> sort_third([5, 6, 3, 4, 8, 9, 2])
    [2, 6, 3, 4, 8, 9, 5]
    """"""
    ret = []
    for i in range(len(l)):
        if i % 3 == 0:
            ret.append(sorted(l[i:i+3])[i % 3])
        else:
            ret.append(l[i])
    return ret","def sort_third(var_1: list):
    """"""This function takes a list l and returns a list l' such that
    l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal
    to the values of the corresponding indicies of l, but sorted.
    >>> sort_third([1, 2, 3])
    [1, 2, 3]
    >>> sort_third([5, 6, 3, 4, 8, 9, 2])
    [2, 6, 3, 4, 8, 9, 5]
    """"""
    var_2 = []
    for var_3 in range(len(var_1)):
        if var_3 % 3 == 0:
            var_2.append(sorted(var_1[var_3:var_3+3])[var_3 % 3])
        else:
            var_2.append(var_1[var_3])
    return var_2","module::left function_definition::left def sort_third parameters::left ( typed_parameter::left var_1 : type::left list type::right typed_parameter::right ) parameters::right : block::left expression_statement::left string::left """""" This function takes a list l and returns a list l' such that
    l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal
    to the values of the corresponding indicies of l, but sorted.
    >>> sort_third([1, 2, 3])
    [1, 2, 3]
    >>> sort_third([5, 6, 3, 4, 8, 9, 2])
    [2, 6, 3, 4, 8, 9, 5]
     """""" string::right expression_statement::right expression_statement::left assignment::left var_2 = list::left [ ] list::right assignment::right expression_statement::right for_statement::left for var_3 in call::left range argument_list::left ( call::left len argument_list::left ( var_1 ) argument_list::right call::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left var_3 % 3 binary_operator::right == 0 comparison_operator::right : block::left expression_statement::left call::left attribute::left var_2 . append attribute::right argument_list::left ( subscript::left call::left sorted argument_list::left ( subscript::left var_1 [ slice::left var_3 : binary_operator::left var_3 + 3 binary_operator::right slice::right ] subscript::right ) argument_list::right call::right [ binary_operator::left var_3 % 3 binary_operator::right ] subscript::right ) argument_list::right call::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left call::left attribute::left var_2 . append attribute::right argument_list::left ( subscript::left var_1 [ var_3 ] subscript::right ) argument_list::right call::right expression_statement::right block::right else_clause::right if_statement::right block::right for_statement::right return_statement::left return var_2 return_statement::right block::right function_definition::right module::right",lm
3,"def max_element(l: list):
    m = l[0]
    for e in l:
        if e > m:
            m = e
    return m
","def max_element(var_1: list):
    var_2 = var_1[0]
    for var_3 in var_1:
        if var_3 > var_2:
            var_2 = var_3
    return var_2
",module::left function_definition::left def max_element parameters::left ( typed_parameter::left var_1 : type::left list type::right typed_parameter::right ) parameters::right : block::left expression_statement::left assignment::left var_2 = subscript::left var_1 [ 0 ] subscript::right assignment::right expression_statement::right for_statement::left for var_3 in var_1 : block::left if_statement::left if comparison_operator::left var_3 > var_2 comparison_operator::right : block::left expression_statement::left assignment::left var_2 = var_3 assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return var_2 return_statement::right block::right function_definition::right module::right,human
4,"def prod_signs(arr):
    if not arr:
        return None

    sign = 1
    sum = 0

    for num in arr:
        if num == 0:
            return 0
        
        if num < 0:
            sign *= -1

        sum += abs(num)

    return sign * sum","def prod_signs(var_1):
    if not var_1:
        return None

    var_2 = 1
    var_3 = 0

    for var_4 in var_1:
        if var_4 == 0:
            return 0
        
        if var_4 < 0:
            var_2 *= -1

        var_3 += abs(var_4)

    return var_2 * var_3",module::left function_definition::left def prod_signs parameters::left ( var_1 ) parameters::right : block::left if_statement::left if not_operator::left not var_1 not_operator::right : block::left return_statement::left return None return_statement::right block::right if_statement::right expression_statement::left assignment::left var_2 = 1 assignment::right expression_statement::right expression_statement::left assignment::left var_3 = 0 assignment::right expression_statement::right for_statement::left for var_4 in var_1 : block::left if_statement::left if comparison_operator::left var_4 == 0 comparison_operator::right : block::left return_statement::left return 0 return_statement::right block::right if_statement::right if_statement::left if comparison_operator::left var_4 < 0 comparison_operator::right : block::left expression_statement::left augmented_assignment::left var_2 *= unary_operator::left - 1 unary_operator::right augmented_assignment::right expression_statement::right block::right if_statement::right expression_statement::left augmented_assignment::left var_3 += call::left abs argument_list::left ( var_4 ) argument_list::right call::right augmented_assignment::right expression_statement::right block::right for_statement::right return_statement::left return binary_operator::left var_2 * var_3 binary_operator::right return_statement::right block::right function_definition::right module::right,lm
5,"def fib(n: int):
    """"""Return n-th Fibonacci number.
    >>> fib(10)
    55
    >>> fib(1)
    1
    >>> fib(8)
    21
    """"""
    if n < 2:
        return n
    else:
        return fib(n-1) + fib(n-2)","def fib(var_1: int):
    """"""Return n-th Fibonacci number.
    >>> fib(10)
    55
    >>> fib(1)
    1
    >>> fib(8)
    21
    """"""
    if var_1 < 2:
        return var_1
    else:
        return fib(var_1-1) + fib(var_1-2)","module::left function_definition::left def fib parameters::left ( typed_parameter::left var_1 : type::left int type::right typed_parameter::right ) parameters::right : block::left expression_statement::left string::left """""" Return n-th Fibonacci number.
    >>> fib(10)
    55
    >>> fib(1)
    1
    >>> fib(8)
    21
     """""" string::right expression_statement::right if_statement::left if comparison_operator::left var_1 < 2 comparison_operator::right : block::left return_statement::left return var_1 return_statement::right block::right else_clause::left else : block::left return_statement::left return binary_operator::left call::left fib argument_list::left ( binary_operator::left var_1 - 1 binary_operator::right ) argument_list::right call::right + call::left fib argument_list::left ( binary_operator::left var_1 - 2 binary_operator::right ) argument_list::right call::right binary_operator::right return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",lm
6,"def rounded_avg(n, m):
    if m < n:
        return -1
    summation = 0
    for i in range(n, m+1):
        summation += i
    return bin(round(summation/(m - n + 1)))
","def rounded_avg(var_1, var_2):
    if var_2 < var_1:
        return -1
    var_3 = 0
    for var_4 in range(var_1, var_2+1):
        var_3 += var_4
    return bin(round(var_3/(var_2 - var_1 + 1)))
","module::left function_definition::left def rounded_avg parameters::left ( var_1 , var_2 ) parameters::right : block::left if_statement::left if comparison_operator::left var_2 < var_1 comparison_operator::right : block::left return_statement::left return unary_operator::left - 1 unary_operator::right return_statement::right block::right if_statement::right expression_statement::left assignment::left var_3 = 0 assignment::right expression_statement::right for_statement::left for var_4 in call::left range argument_list::left ( var_1 , binary_operator::left var_2 + 1 binary_operator::right ) argument_list::right call::right : block::left expression_statement::left augmented_assignment::left var_3 += var_4 augmented_assignment::right expression_statement::right block::right for_statement::right return_statement::left return call::left bin argument_list::left ( call::left round argument_list::left ( binary_operator::left var_3 / parenthesized_expression::left ( binary_operator::left binary_operator::left var_2 - var_1 binary_operator::right + 1 binary_operator::right ) parenthesized_expression::right binary_operator::right ) argument_list::right call::right ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",human
7,"def is_bored(S):
    import re
    sentences = re.split(r'[.?!]\s*', S)
    return sum(sentence[0:2] == 'I ' for sentence in sentences)
","def is_bored(var_1):
    import re
    var_2 = re.split(r'[.?!]\s*', var_1)
    return sum(sentence[0:2] == 'I ' for sentence in var_2)
","module::left function_definition::left def is_bored parameters::left ( var_1 ) parameters::right : block::left import_statement::left import dotted_name::left re dotted_name::right import_statement::right expression_statement::left assignment::left var_2 = call::left attribute::left re . split attribute::right argument_list::left ( string::left r' [.?!]\s* ' string::right , var_1 ) argument_list::right call::right assignment::right expression_statement::right return_statement::left return call::left sum generator_expression::left ( comparison_operator::left subscript::left sentence [ slice::left 0 : 2 slice::right ] subscript::right == string::left ' I  ' string::right comparison_operator::right for_in_clause::left for sentence in var_2 for_in_clause::right ) generator_expression::right call::right return_statement::right block::right function_definition::right module::right",human
8,"def file_name_check(file_name):

    # Split the file name into two parts: the substring before the dot and the substring after the dot.

    file_name_parts = file_name.split('.')

    # Check if the file's name has a valid number of digits.

    if len([char for char in file_name if char.isdigit()]) > 3:
        return 'No'

    # Check if the file's name contains exactly one dot.

    if len(file_name_parts) != 2:
        return 'No'

    # Check if the substring before the dot is not empty and starts with a latin alphapet letter.

    if not file_name_parts[0] or not file_name_parts[0][0].isalpha():
        return 'No'

    # Check if the substring after the dot is one of these: ['txt', 'exe', 'dll'].

    if file_name_parts[1] not in ['txt', 'exe', 'dll']:
        return 'No'

    # If all the conditions are met, return 'Yes'.

    return 'Yes'","def file_name_check(var_1):

    # Split the file name into two parts: the substring before the dot and the substring after the dot.

    var_2 = var_1.split('.')

    # Check if the file's name has a valid number of digits.

    if len([char for char in var_1 if char.isdigit()]) > 3:
        return 'No'

    # Check if the file's name contains exactly one dot.

    if len(var_2) != 2:
        return 'No'

    # Check if the substring before the dot is not empty and starts with a latin alphapet letter.

    if not var_2[0] or not var_2[0][0].isalpha():
        return 'No'

    # Check if the substring after the dot is one of these: ['txt', 'exe', 'dll'].

    if var_2[1] not in ['txt', 'exe', 'dll']:
        return 'No'

    # If all the conditions are met, return 'Yes'.

    return 'Yes'","module::left function_definition::left def file_name_check parameters::left ( var_1 ) parameters::right : # Split the file name into two parts: the substring before the dot and the substring after the dot. block::left expression_statement::left assignment::left var_2 = call::left attribute::left var_1 . split attribute::right argument_list::left ( string::left ' . ' string::right ) argument_list::right call::right assignment::right expression_statement::right # Check if the file's name has a valid number of digits. if_statement::left if comparison_operator::left call::left len argument_list::left ( list_comprehension::left [ char for_in_clause::left for char in var_1 for_in_clause::right if_clause::left if call::left attribute::left char . isdigit attribute::right argument_list::left ( ) argument_list::right call::right if_clause::right ] list_comprehension::right ) argument_list::right call::right > 3 comparison_operator::right : block::left return_statement::left return string::left ' No ' string::right return_statement::right block::right if_statement::right # Check if the file's name contains exactly one dot. if_statement::left if comparison_operator::left call::left len argument_list::left ( var_2 ) argument_list::right call::right != 2 comparison_operator::right : block::left return_statement::left return string::left ' No ' string::right return_statement::right block::right if_statement::right # Check if the substring before the dot is not empty and starts with a latin alphapet letter. if_statement::left if boolean_operator::left not_operator::left not subscript::left var_2 [ 0 ] subscript::right not_operator::right or not_operator::left not call::left attribute::left subscript::left subscript::left var_2 [ 0 ] subscript::right [ 0 ] subscript::right . isalpha attribute::right argument_list::left ( ) argument_list::right call::right not_operator::right boolean_operator::right : block::left return_statement::left return string::left ' No ' string::right return_statement::right block::right if_statement::right # Check if the substring after the dot is one of these: ['txt', 'exe', 'dll']. if_statement::left if comparison_operator::left subscript::left var_2 [ 1 ] subscript::right not in list::left [ string::left ' txt ' string::right , string::left ' exe ' string::right , string::left ' dll ' string::right ] list::right comparison_operator::right : block::left return_statement::left return string::left ' No ' string::right return_statement::right block::right if_statement::right # If all the conditions are met, return 'Yes'. return_statement::left return string::left ' Yes ' string::right return_statement::right block::right function_definition::right module::right",lm
9,"def unique_digits(x):
    ret = []
    for i in x:
      flag = True
      for ch in str(i):
        num = int(ch)
        if(num % 2 == 0):
          flag = False
          break
      if(flag):
        ret.append(i)

    ret.sort()
    return ret","def unique_digits(var_1):
    var_2 = []
    for var_3 in var_1:
      var_4 = True
      for var_5 in str(var_3):
        var_6 = int(var_5)
        if(var_6 % 2 == 0):
          var_4 = False
          break
      if(var_4):
        var_2.append(var_3)

    var_2.sort()
    return var_2",module::left function_definition::left def unique_digits parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = list::left [ ] list::right assignment::right expression_statement::right for_statement::left for var_3 in var_1 : block::left expression_statement::left assignment::left var_4 = True assignment::right expression_statement::right for_statement::left for var_5 in call::left str argument_list::left ( var_3 ) argument_list::right call::right : block::left expression_statement::left assignment::left var_6 = call::left int argument_list::left ( var_5 ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if parenthesized_expression::left ( comparison_operator::left binary_operator::left var_6 % 2 binary_operator::right == 0 comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left assignment::left var_4 = False assignment::right expression_statement::right break_statement::left break break_statement::right block::right if_statement::right block::right for_statement::right if_statement::left if parenthesized_expression::left ( var_4 ) parenthesized_expression::right : block::left expression_statement::left call::left attribute::left var_2 . append attribute::right argument_list::left ( var_3 ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right for_statement::right expression_statement::left call::left attribute::left var_2 . sort attribute::right argument_list::left ( ) argument_list::right call::right expression_statement::right return_statement::left return var_2 return_statement::right block::right function_definition::right module::right,lm
10,"def bf(planet1, planet2):
    planet_names = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    if planet1 not in planet_names or planet2 not in planet_names or planet1 == planet2:
        return ()
    planet1_index = planet_names.index(planet1)
    planet2_index = planet_names.index(planet2)
    if planet1_index < planet2_index:
        return (planet_names[planet1_index + 1: planet2_index])
    else:
        return (planet_names[planet2_index + 1 : planet1_index])
","def bf(var_1, var_2):
    var_3 = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    if var_1 not in var_3 or var_2 not in var_3 or var_1 == var_2:
        return ()
    var_4 = var_3.index(var_1)
    var_5 = var_3.index(var_2)
    if var_4 < var_5:
        return (var_3[var_4 + 1: var_5])
    else:
        return (var_3[var_5 + 1 : var_4])
","module::left function_definition::left def bf parameters::left ( var_1 , var_2 ) parameters::right : block::left expression_statement::left assignment::left var_3 = tuple::left ( string::left "" Mercury "" string::right , string::left "" Venus "" string::right , string::left "" Earth "" string::right , string::left "" Mars "" string::right , string::left "" Jupiter "" string::right , string::left "" Saturn "" string::right , string::left "" Uranus "" string::right , string::left "" Neptune "" string::right ) tuple::right assignment::right expression_statement::right if_statement::left if boolean_operator::left boolean_operator::left comparison_operator::left var_1 not in var_3 comparison_operator::right or comparison_operator::left var_2 not in var_3 comparison_operator::right boolean_operator::right or comparison_operator::left var_1 == var_2 comparison_operator::right boolean_operator::right : block::left return_statement::left return tuple::left ( ) tuple::right return_statement::right block::right if_statement::right expression_statement::left assignment::left var_4 = call::left attribute::left var_3 . index attribute::right argument_list::left ( var_1 ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left assignment::left var_5 = call::left attribute::left var_3 . index attribute::right argument_list::left ( var_2 ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if comparison_operator::left var_4 < var_5 comparison_operator::right : block::left return_statement::left return parenthesized_expression::left ( subscript::left var_3 [ slice::left binary_operator::left var_4 + 1 binary_operator::right : var_5 slice::right ] subscript::right ) parenthesized_expression::right return_statement::right block::right else_clause::left else : block::left return_statement::left return parenthesized_expression::left ( subscript::left var_3 [ slice::left binary_operator::left var_5 + 1 binary_operator::right : var_4 slice::right ] subscript::right ) parenthesized_expression::right return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
