idx,code,new_code,ast,label
0,"def is_num_keith(x): 
	terms = [] 
	temp = x 
	n = 0 
	while (temp > 0): 
		terms.append(temp % 10) 
		temp = int(temp / 10) 
		n+=1 
	terms.reverse() 
	next_term = 0 
	i = n 
	while (next_term < x): 
		next_term = 0 
		for j in range(1,n+1): 
			next_term += terms[i - j] 
		terms.append(next_term) 
		i+=1 
	return (next_term == x) ","def is_num_keith(var_1): 
	var_2 = [] 
	var_3 = var_1 
	var_4 = 0 
	while (var_3 > 0): 
		var_2.append(var_3 % 10) 
		var_3 = int(var_3 / 10) 
		var_4+=1 
	var_2.reverse() 
	var_5 = 0 
	var_6 = var_4 
	while (var_5 < var_1): 
		var_5 = 0 
		for var_7 in range(1,var_4+1): 
			var_5 += var_2[var_6 - var_7] 
		var_2.append(var_5) 
		var_6+=1 
	return (var_5 == var_1) ","module::left function_definition::left def is_num_keith parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = list::left [ ] list::right assignment::right expression_statement::right expression_statement::left assignment::left var_3 = var_1 assignment::right expression_statement::right expression_statement::left assignment::left var_4 = 0 assignment::right expression_statement::right while_statement::left while parenthesized_expression::left ( comparison_operator::left var_3 > 0 comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left call::left attribute::left var_2 . append attribute::right argument_list::left ( binary_operator::left var_3 % 10 binary_operator::right ) argument_list::right call::right expression_statement::right expression_statement::left assignment::left var_3 = call::left int argument_list::left ( binary_operator::left var_3 / 10 binary_operator::right ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left augmented_assignment::left var_4 += 1 augmented_assignment::right expression_statement::right block::right while_statement::right expression_statement::left call::left attribute::left var_2 . reverse attribute::right argument_list::left ( ) argument_list::right call::right expression_statement::right expression_statement::left assignment::left var_5 = 0 assignment::right expression_statement::right expression_statement::left assignment::left var_6 = var_4 assignment::right expression_statement::right while_statement::left while parenthesized_expression::left ( comparison_operator::left var_5 < var_1 comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left assignment::left var_5 = 0 assignment::right expression_statement::right for_statement::left for var_7 in call::left range argument_list::left ( 1 , binary_operator::left var_4 + 1 binary_operator::right ) argument_list::right call::right : block::left expression_statement::left augmented_assignment::left var_5 += subscript::left var_2 [ binary_operator::left var_6 - var_7 binary_operator::right ] subscript::right augmented_assignment::right expression_statement::right block::right for_statement::right expression_statement::left call::left attribute::left var_2 . append attribute::right argument_list::left ( var_5 ) argument_list::right call::right expression_statement::right expression_statement::left augmented_assignment::left var_6 += 1 augmented_assignment::right expression_statement::right block::right while_statement::right return_statement::left return parenthesized_expression::left ( comparison_operator::left var_5 == var_1 comparison_operator::right ) parenthesized_expression::right return_statement::right block::right function_definition::right module::right",human
1,"import re

def validate_ip_address(ip_address):
    pattern = r""^(?:[0-9]{1,3}\.){3}[0-9]{1,3}$""
    if re.match(pattern, ip_address):
        return True
    else:
        return False","import re

def validate_ip_address(var_1):
    var_2 = r""^(?:[0-9]{1,3}\.){3}[0-9]{1,3}$""
    if re.match(var_2, var_1):
        return True
    else:
        return False","module::left import_statement::left import dotted_name::left re dotted_name::right import_statement::right function_definition::left def validate_ip_address parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = string::left r"" ^(?:[0-9]{1,3}\.){3}[0-9]{1,3}$ "" string::right assignment::right expression_statement::right if_statement::left if call::left attribute::left re . match attribute::right argument_list::left ( var_2 , var_1 ) argument_list::right call::right : block::left return_statement::left return True return_statement::right block::right else_clause::left else : block::left return_statement::left return False return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",lm
2,"def modular_inverse(arr, N, P):
	current_element = 0
	for i in range(0, N):
		if ((arr[i] * arr[i]) % P == 1):
			current_element = current_element + 1
	return current_element","def modular_inverse(var_1, var_2, var_3):
	var_4 = 0
	for var_5 in range(0, var_2):
		if ((var_1[var_5] * var_1[var_5]) % var_3 == 1):
			var_4 = var_4 + 1
	return var_4","module::left function_definition::left def modular_inverse parameters::left ( var_1 , var_2 , var_3 ) parameters::right : block::left expression_statement::left assignment::left var_4 = 0 assignment::right expression_statement::right for_statement::left for var_5 in call::left range argument_list::left ( 0 , var_2 ) argument_list::right call::right : block::left if_statement::left if parenthesized_expression::left ( comparison_operator::left binary_operator::left parenthesized_expression::left ( binary_operator::left subscript::left var_1 [ var_5 ] subscript::right * subscript::left var_1 [ var_5 ] subscript::right binary_operator::right ) parenthesized_expression::right % var_3 binary_operator::right == 1 comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left assignment::left var_4 = binary_operator::left var_4 + 1 binary_operator::right assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return var_4 return_statement::right block::right function_definition::right module::right",human
3,"def find_lcm(arr):
    if len(arr) == 0:
        return None
    
    lcm = arr[0]
    for i in range(1, len(arr)):
        num1 = lcm
        num2 = arr[i]
        while True:
            if num1 % num2 == 0:
                lcm = num1
                break
            num1 += lcm
    
    return lcm","def find_lcm(var_1):
    if len(var_1) == 0:
        return None
    
    var_2 = var_1[0]
    for var_3 in range(1, len(var_1)):
        var_4 = var_2
        var_5 = var_1[var_3]
        while True:
            if var_4 % var_5 == 0:
                var_2 = var_4
                break
            var_4 += var_2
    
    return var_2","module::left function_definition::left def find_lcm parameters::left ( var_1 ) parameters::right : block::left if_statement::left if comparison_operator::left call::left len argument_list::left ( var_1 ) argument_list::right call::right == 0 comparison_operator::right : block::left return_statement::left return None return_statement::right block::right if_statement::right expression_statement::left assignment::left var_2 = subscript::left var_1 [ 0 ] subscript::right assignment::right expression_statement::right for_statement::left for var_3 in call::left range argument_list::left ( 1 , call::left len argument_list::left ( var_1 ) argument_list::right call::right ) argument_list::right call::right : block::left expression_statement::left assignment::left var_4 = var_2 assignment::right expression_statement::right expression_statement::left assignment::left var_5 = subscript::left var_1 [ var_3 ] subscript::right assignment::right expression_statement::right while_statement::left while True : block::left if_statement::left if comparison_operator::left binary_operator::left var_4 % var_5 binary_operator::right == 0 comparison_operator::right : block::left expression_statement::left assignment::left var_2 = var_4 assignment::right expression_statement::right break_statement::left break break_statement::right block::right if_statement::right expression_statement::left augmented_assignment::left var_4 += var_2 augmented_assignment::right expression_statement::right block::right while_statement::right block::right for_statement::right return_statement::left return var_2 return_statement::right block::right function_definition::right module::right",lm
4,"def left_rotate_bits(number, rotations):
    return (number << rotations) | (number >> (32 - rotations))","def left_rotate_bits(var_1, var_2):
    return (var_1 << var_2) | (var_1 >> (32 - var_2))","module::left function_definition::left def left_rotate_bits parameters::left ( var_1 , var_2 ) parameters::right : block::left return_statement::left return binary_operator::left parenthesized_expression::left ( binary_operator::left var_1 << var_2 binary_operator::right ) parenthesized_expression::right | parenthesized_expression::left ( binary_operator::left var_1 >> parenthesized_expression::left ( binary_operator::left 32 - var_2 binary_operator::right ) parenthesized_expression::right binary_operator::right ) parenthesized_expression::right binary_operator::right return_statement::right block::right function_definition::right module::right",lm
5,"def Split(list): 
    ev_li = [] 
    for i in list: 
        if (i % 2 == 0): 
            ev_li.append(i)  
    return ev_li","def Split(var_1): 
    var_2 = [] 
    for var_3 in var_1: 
        if (var_3 % 2 == 0): 
            var_2.append(var_3)  
    return var_2",module::left function_definition::left def Split parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = list::left [ ] list::right assignment::right expression_statement::right for_statement::left for var_3 in var_1 : block::left if_statement::left if parenthesized_expression::left ( comparison_operator::left binary_operator::left var_3 % 2 binary_operator::right == 0 comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left call::left attribute::left var_2 . append attribute::right argument_list::left ( var_3 ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return var_2 return_statement::right block::right function_definition::right module::right,human
6,"def find_pairs(arr, target):
    pairs = []
    for i in range(len(arr)):
        for j in range(i + 1, len(arr)):
            if arr[i] + arr[j] == target:
                pairs.append((arr[i], arr[j]))
    return pairs","def find_pairs(var_1, var_2):
    var_3 = []
    for var_4 in range(len(var_1)):
        for var_5 in range(var_4 + 1, len(var_1)):
            if var_1[var_4] + var_1[var_5] == var_2:
                var_3.append((var_1[var_4], var_1[var_5]))
    return var_3","module::left function_definition::left def find_pairs parameters::left ( var_1 , var_2 ) parameters::right : block::left expression_statement::left assignment::left var_3 = list::left [ ] list::right assignment::right expression_statement::right for_statement::left for var_4 in call::left range argument_list::left ( call::left len argument_list::left ( var_1 ) argument_list::right call::right ) argument_list::right call::right : block::left for_statement::left for var_5 in call::left range argument_list::left ( binary_operator::left var_4 + 1 binary_operator::right , call::left len argument_list::left ( var_1 ) argument_list::right call::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left subscript::left var_1 [ var_4 ] subscript::right + subscript::left var_1 [ var_5 ] subscript::right binary_operator::right == var_2 comparison_operator::right : block::left expression_statement::left call::left attribute::left var_3 . append attribute::right argument_list::left ( tuple::left ( subscript::left var_1 [ var_4 ] subscript::right , subscript::left var_1 [ var_5 ] subscript::right ) tuple::right ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right for_statement::right block::right for_statement::right return_statement::left return var_3 return_statement::right block::right function_definition::right module::right",lm
7,"def camel_to_snake(camel_case_string):
    snake_case_string = ''
    for index, char in enumerate(camel_case_string):
        if char.isupper():
            if index != 0:
                snake_case_string += '_'
            snake_case_string += char.lower()
        else:
            snake_case_string += char
    return snake_case_string","def camel_to_snake(var_1):
    var_2 = ''
    for var_3, var_4 in enumerate(var_1):
        if var_4.isupper():
            if var_3 != 0:
                var_2 += '_'
            var_2 += var_4.lower()
        else:
            var_2 += var_4
    return var_2","module::left function_definition::left def camel_to_snake parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = string::left ' ' string::right assignment::right expression_statement::right for_statement::left for pattern_list::left var_3 , var_4 pattern_list::right in call::left enumerate argument_list::left ( var_1 ) argument_list::right call::right : block::left if_statement::left if call::left attribute::left var_4 . isupper attribute::right argument_list::left ( ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left var_3 != 0 comparison_operator::right : block::left expression_statement::left augmented_assignment::left var_2 += string::left ' _ ' string::right augmented_assignment::right expression_statement::right block::right if_statement::right expression_statement::left augmented_assignment::left var_2 += call::left attribute::left var_4 . lower attribute::right argument_list::left ( ) argument_list::right call::right augmented_assignment::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left augmented_assignment::left var_2 += var_4 augmented_assignment::right expression_statement::right block::right else_clause::right if_statement::right block::right for_statement::right return_statement::left return var_2 return_statement::right block::right function_definition::right module::right",lm
8,"def minimum_total(triangle):
    if not triangle:
        return 0

    dp = triangle[-1]
    for i in range(len(triangle) - 2, -1, -1):
        for j in range(len(triangle[i])):
            dp[j] = triangle[i][j] + min(dp[j], dp[j + 1])

    return dp[0]","def minimum_total(var_1):
    if not var_1:
        return 0

    var_2 = var_1[-1]
    for var_3 in range(len(var_1) - 2, -1, -1):
        for var_4 in range(len(var_1[var_3])):
            var_2[var_4] = var_1[var_3][var_4] + min(var_2[var_4], var_2[var_4 + 1])

    return var_2[0]","module::left function_definition::left def minimum_total parameters::left ( var_1 ) parameters::right : block::left if_statement::left if not_operator::left not var_1 not_operator::right : block::left return_statement::left return 0 return_statement::right block::right if_statement::right expression_statement::left assignment::left var_2 = subscript::left var_1 [ unary_operator::left - 1 unary_operator::right ] subscript::right assignment::right expression_statement::right for_statement::left for var_3 in call::left range argument_list::left ( binary_operator::left call::left len argument_list::left ( var_1 ) argument_list::right call::right - 2 binary_operator::right , unary_operator::left - 1 unary_operator::right , unary_operator::left - 1 unary_operator::right ) argument_list::right call::right : block::left for_statement::left for var_4 in call::left range argument_list::left ( call::left len argument_list::left ( subscript::left var_1 [ var_3 ] subscript::right ) argument_list::right call::right ) argument_list::right call::right : block::left expression_statement::left assignment::left subscript::left var_2 [ var_4 ] subscript::right = binary_operator::left subscript::left subscript::left var_1 [ var_3 ] subscript::right [ var_4 ] subscript::right + call::left min argument_list::left ( subscript::left var_2 [ var_4 ] subscript::right , subscript::left var_2 [ binary_operator::left var_4 + 1 binary_operator::right ] subscript::right ) argument_list::right call::right binary_operator::right assignment::right expression_statement::right block::right for_statement::right block::right for_statement::right return_statement::left return subscript::left var_2 [ 0 ] subscript::right return_statement::right block::right function_definition::right module::right",lm
9,"def is_even(number):
    if number % 2 == 0:
        return True
    else:
        return False","def is_even(var_1):
    if var_1 % 2 == 0:
        return True
    else:
        return False",module::left function_definition::left def is_even parameters::left ( var_1 ) parameters::right : block::left if_statement::left if comparison_operator::left binary_operator::left var_1 % 2 binary_operator::right == 0 comparison_operator::right : block::left return_statement::left return True return_statement::right block::right else_clause::left else : block::left return_statement::left return False return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right,lm
