idx,code,new_code,ast,label
0,"def sum_of_array(arr):
    return sum(arr)","def sum_of_array(var_1):
    return sum(var_1)",module::left function_definition::left def sum_of_array parameters::left ( var_1 ) parameters::right : block::left return_statement::left return call::left sum argument_list::left ( var_1 ) argument_list::right call::right return_statement::right block::right function_definition::right module::right,lm
1,"def find_missing(ar,N): 
    l = 0
    r = N - 1
    while (l <= r):  
        mid = (l + r) / 2
        mid= int (mid) 
        if (ar[mid] != mid + 1 and ar[mid - 1] == mid): 
            return (mid + 1)  
        elif (ar[mid] != mid + 1): 
            r = mid - 1 
        else: 
            l = mid + 1
    return (-1) ","def find_missing(var_1,var_2): 
    var_3 = 0
    var_4 = var_2 - 1
    while (var_3 <= var_4):  
        var_5 = (var_3 + var_4) / 2
        var_5= int (var_5) 
        if (var_1[var_5] != var_5 + 1 and var_1[var_5 - 1] == var_5): 
            return (var_5 + 1)  
        elif (var_1[var_5] != var_5 + 1): 
            var_4 = var_5 - 1 
        else: 
            var_3 = var_5 + 1
    return (-1) ","module::left function_definition::left def find_missing parameters::left ( var_1 , var_2 ) parameters::right : block::left expression_statement::left assignment::left var_3 = 0 assignment::right expression_statement::right expression_statement::left assignment::left var_4 = binary_operator::left var_2 - 1 binary_operator::right assignment::right expression_statement::right while_statement::left while parenthesized_expression::left ( comparison_operator::left var_3 <= var_4 comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left assignment::left var_5 = binary_operator::left parenthesized_expression::left ( binary_operator::left var_3 + var_4 binary_operator::right ) parenthesized_expression::right / 2 binary_operator::right assignment::right expression_statement::right expression_statement::left assignment::left var_5 = call::left int argument_list::left ( var_5 ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if parenthesized_expression::left ( boolean_operator::left comparison_operator::left subscript::left var_1 [ var_5 ] subscript::right != binary_operator::left var_5 + 1 binary_operator::right comparison_operator::right and comparison_operator::left subscript::left var_1 [ binary_operator::left var_5 - 1 binary_operator::right ] subscript::right == var_5 comparison_operator::right boolean_operator::right ) parenthesized_expression::right : block::left return_statement::left return parenthesized_expression::left ( binary_operator::left var_5 + 1 binary_operator::right ) parenthesized_expression::right return_statement::right block::right elif_clause::left elif parenthesized_expression::left ( comparison_operator::left subscript::left var_1 [ var_5 ] subscript::right != binary_operator::left var_5 + 1 binary_operator::right comparison_operator::right ) parenthesized_expression::right : block::left expression_statement::left assignment::left var_4 = binary_operator::left var_5 - 1 binary_operator::right assignment::right expression_statement::right block::right elif_clause::right else_clause::left else : block::left expression_statement::left assignment::left var_3 = binary_operator::left var_5 + 1 binary_operator::right assignment::right expression_statement::right block::right else_clause::right if_statement::right block::right while_statement::right return_statement::left return parenthesized_expression::left ( unary_operator::left - 1 unary_operator::right ) parenthesized_expression::right return_statement::right block::right function_definition::right module::right",human
2,"def extract_unique(test_dict):
  res = list(sorted({ele for val in test_dict.values() for ele in val}))
  return res","def extract_unique(var_1):
  var_2 = list(sorted({ele for val in var_1.values() for ele in val}))
  return var_2",module::left function_definition::left def extract_unique parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = call::left list argument_list::left ( call::left sorted argument_list::left ( set_comprehension::left { ele for_in_clause::left for val in call::left attribute::left var_1 . values attribute::right argument_list::left ( ) argument_list::right call::right for_in_clause::right for_in_clause::left for ele in val for_in_clause::right } set_comprehension::right ) argument_list::right call::right ) argument_list::right call::right assignment::right expression_statement::right return_statement::left return var_2 return_statement::right block::right function_definition::right module::right,human
3,"def is_subset(arr1, m, arr2, n): 
	hashset = set() 
	for i in range(0, m): 
		hashset.add(arr1[i]) 
	for i in range(0, n): 
		if arr2[i] in hashset: 
			continue
		else: 
			return False
	return True		","def is_subset(var_1, var_2, var_3, var_4): 
	var_5 = set() 
	for var_6 in range(0, var_2): 
		var_5.add(var_1[var_6]) 
	for var_6 in range(0, var_4): 
		if var_3[var_6] in var_5: 
			continue
		else: 
			return False
	return True		","module::left function_definition::left def is_subset parameters::left ( var_1 , var_2 , var_3 , var_4 ) parameters::right : block::left expression_statement::left assignment::left var_5 = call::left set argument_list::left ( ) argument_list::right call::right assignment::right expression_statement::right for_statement::left for var_6 in call::left range argument_list::left ( 0 , var_2 ) argument_list::right call::right : block::left expression_statement::left call::left attribute::left var_5 . add attribute::right argument_list::left ( subscript::left var_1 [ var_6 ] subscript::right ) argument_list::right call::right expression_statement::right block::right for_statement::right for_statement::left for var_6 in call::left range argument_list::left ( 0 , var_4 ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left subscript::left var_3 [ var_6 ] subscript::right in var_5 comparison_operator::right : block::left continue_statement::left continue continue_statement::right block::right else_clause::left else : block::left return_statement::left return False return_statement::right block::right else_clause::right if_statement::right block::right for_statement::right return_statement::left return True return_statement::right block::right function_definition::right module::right",human
4,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')","import re
def text_lowercase_underscore(var_1):
        var_2 = '^[a-z]+_[a-z]+$'
        if re.search(var_2,  var_1):
                return 'Found a match!'
        else:
                return('Not matched!')","module::left import_statement::left import dotted_name::left re dotted_name::right import_statement::right function_definition::left def text_lowercase_underscore parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = string::left ' ^[a-z]+_[a-z]+$ ' string::right assignment::right expression_statement::right if_statement::left if call::left attribute::left re . search attribute::right argument_list::left ( var_2 , var_1 ) argument_list::right call::right : block::left return_statement::left return string::left ' Found a match! ' string::right return_statement::right block::right else_clause::left else : block::left return_statement::left return parenthesized_expression::left ( string::left ' Not matched! ' string::right ) parenthesized_expression::right return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
5,"import re 
def match(text): 
		pattern = '[A-Z]+[a-z]+$'
		if re.search(pattern, text): 
				return('Yes') 
		else: 
				return('No') ","import re 
def match(var_1): 
		var_2 = '[A-Z]+[a-z]+$'
		if re.search(var_2, var_1): 
				return('Yes') 
		else: 
				return('No') ","module::left import_statement::left import dotted_name::left re dotted_name::right import_statement::right function_definition::left def match parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = string::left ' [A-Z]+[a-z]+$ ' string::right assignment::right expression_statement::right if_statement::left if call::left attribute::left re . search attribute::right argument_list::left ( var_2 , var_1 ) argument_list::right call::right : block::left return_statement::left return parenthesized_expression::left ( string::left ' Yes ' string::right ) parenthesized_expression::right return_statement::right block::right else_clause::left else : block::left return_statement::left return parenthesized_expression::left ( string::left ' No ' string::right ) parenthesized_expression::right return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
6,"def is_dict_empty(d):
    return not bool(d)","def is_dict_empty(var_1):
    return not bool(var_1)",module::left function_definition::left def is_dict_empty parameters::left ( var_1 ) parameters::right : block::left return_statement::left return not_operator::left not call::left bool argument_list::left ( var_1 ) argument_list::right call::right not_operator::right return_statement::right block::right function_definition::right module::right,lm
7,"def is_divisor_count_even(number):
    divisor_count = 0
    for i in range(1, number + 1):
        if number % i == 0:
            divisor_count += 1
    return divisor_count % 2 == 0","def is_divisor_count_even(var_1):
    var_2 = 0
    for var_3 in range(1, var_1 + 1):
        if var_1 % var_3 == 0:
            var_2 += 1
    return var_2 % 2 == 0","module::left function_definition::left def is_divisor_count_even parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = 0 assignment::right expression_statement::right for_statement::left for var_3 in call::left range argument_list::left ( 1 , binary_operator::left var_1 + 1 binary_operator::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left binary_operator::left var_1 % var_3 binary_operator::right == 0 comparison_operator::right : block::left expression_statement::left augmented_assignment::left var_2 += 1 augmented_assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right return_statement::left return comparison_operator::left binary_operator::left var_2 % 2 binary_operator::right == 0 comparison_operator::right return_statement::right block::right function_definition::right module::right",lm
8,"def sum_of_positives(numbers):
    return sum(filter(lambda x: x > 0, numbers))","def sum_of_positives(var_1):
    return sum(filter(lambda x: x > 0, var_1))","module::left function_definition::left def sum_of_positives parameters::left ( var_1 ) parameters::right : block::left return_statement::left return call::left sum argument_list::left ( call::left filter argument_list::left ( lambda::left lambda lambda_parameters::left x lambda_parameters::right : comparison_operator::left x > 0 comparison_operator::right lambda::right , var_1 ) argument_list::right call::right ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",lm
9,"import re
def is_valid_URL(str):
	regex = (""((http|https)://)(www.)?"" +
			""[a-zA-Z0-9@:%._\\+~#?&//=]"" +
			""{2,256}\\.[a-z]"" +
			""{2,6}\\b([-a-zA-Z0-9@:%"" +
			""._\\+~#?&//=]*)"")
	p = re.compile(regex)
	if (str == None):
		return False
	if(re.search(p, str)):
		return True
	else:
		return False","import re
def is_valid_URL(var_1):
	var_2 = (""((http|https)://)(www.)?"" +
			""[a-zA-Z0-9@:%._\\+~#?&//=]"" +
			""{2,256}\\.[a-z]"" +
			""{2,6}\\b([-a-zA-Z0-9@:%"" +
			""._\\+~#?&//=]*)"")
	var_3 = re.compile(var_2)
	if (var_1 == None):
		return False
	if(re.search(var_3, var_1)):
		return True
	else:
		return False","module::left import_statement::left import dotted_name::left re dotted_name::right import_statement::right function_definition::left def is_valid_URL parameters::left ( var_1 ) parameters::right : block::left expression_statement::left assignment::left var_2 = parenthesized_expression::left ( binary_operator::left binary_operator::left binary_operator::left binary_operator::left string::left "" ((http|https)://)(www.)? "" string::right + string::left "" string_content::left \\ string_content::right "" string::right binary_operator::right + string::left "" string_content::left \\ string_content::right "" string::right binary_operator::right + string::left "" string_content::left \\ string_content::right "" string::right binary_operator::right + string::left "" string_content::left \\ string_content::right "" string::right binary_operator::right ) parenthesized_expression::right assignment::right expression_statement::right expression_statement::left assignment::left var_3 = call::left attribute::left re . compile attribute::right argument_list::left ( var_2 ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if parenthesized_expression::left ( comparison_operator::left var_1 == None comparison_operator::right ) parenthesized_expression::right : block::left return_statement::left return False return_statement::right block::right if_statement::right if_statement::left if parenthesized_expression::left ( call::left attribute::left re . search attribute::right argument_list::left ( var_3 , var_1 ) argument_list::right call::right ) parenthesized_expression::right : block::left return_statement::left return True return_statement::right block::right else_clause::left else : block::left return_statement::left return False return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
