sample_id,jsonl_line,source_line_no,filter_index,status,raw_mgc_ok,clean_mgc_ok,hwc_ok,raw_mgc_error,clean_mgc_error,hwc_error,raw_output_len,clean_output_len,prompt_len,solution_len,hwc_npr,mgc_npr,winner,prompt,solution,raw_output,clean_output,hwc_code,mgc_code
line4977,4977,,,raw_valid,True,True,True,,,,1,1,211,216,,,,"def send_velocity_world_setpoint(self, vx, vy, vz, yawrate):
        """"""
        Send Velocity in the world frame of reference setpoint.

        vx, vy, vz are in m/s
        yawrate is in degrees/s
        """"""","
        pk = CRTPPacket()
        pk.port = CRTPPort.COMMANDER_GENERIC
        pk.data = struct.pack('<Bffff', TYPE_VELOCITY_WORLD,
                              vx, vy, vz, yawrate)
        self._cf.send_packet(pk)","
","
","def send_velocity_world_setpoint(self, vx, vy, vz, yawrate):
        """"""
        Send Velocity in the world frame of reference setpoint.

        vx, vy, vz are in m/s
        yawrate is in degrees/s
        """"""
        pk = CRTPPacket()
        pk.port = CRTPPort.COMMANDER_GENERIC
        pk.data = struct.pack('<Bffff', TYPE_VELOCITY_WORLD,
                              vx, vy, vz, yawrate)
        self._cf.send_packet(pk)
","def send_velocity_world_setpoint(self, vx, vy, vz, yawrate):
        """"""
        Send Velocity in the world frame of reference setpoint.

        vx, vy, vz are in m/s
        yawrate is in degrees/s
        """"""
"
line3101,3101,,,raw_valid,True,True,True,,,,136,136,956,98,,,,"def load_from_definition(
        definition: dict, parent: Location, label: str = None) -> Labware:
    """"""
    Return a labware object constructed from a provided labware definition dict

    :param definition: A dict representing all required data for a labware,
        including metadata such as the display name of the labware, a
        definition of the order to iterate over wells, the shape of wells
        (shape, physical dimensions, etc), and so on. The correct shape of
        this definition is governed by the ""labware-designer"" project in
        the Opentrons/opentrons repo.
    :param parent: A :py:class:`.Location` representing the location where
                   the front and left most point of the outside of labware is
                   (often the front-left corner of a slot on the deck).
    :param str label: An optional label that will override the labware's
                      display name from its definition
    """"""","
    labware = Labware(definition, parent, label)
    load_calibration(labware)
    return labware","
    from opentrons.protocol_api import load_labware_from_definition
    return load_labware_from_definition(definition, parent, label)
","
    from opentrons.protocol_api import load_labware_from_definition
    return load_labware_from_definition(definition, parent, label)
","def load_from_definition(
        definition: dict, parent: Location, label: str = None) -> Labware:
    """"""
    Return a labware object constructed from a provided labware definition dict

    :param definition: A dict representing all required data for a labware,
        including metadata such as the display name of the labware, a
        definition of the order to iterate over wells, the shape of wells
        (shape, physical dimensions, etc), and so on. The correct shape of
        this definition is governed by the ""labware-designer"" project in
        the Opentrons/opentrons repo.
    :param parent: A :py:class:`.Location` representing the location where
                   the front and left most point of the outside of labware is
                   (often the front-left corner of a slot on the deck).
    :param str label: An optional label that will override the labware's
                      display name from its definition
    """"""
    labware = Labware(definition, parent, label)
    load_calibration(labware)
    return labware
","def load_from_definition(
        definition: dict, parent: Location, label: str = None) -> Labware:
    """"""
    Return a labware object constructed from a provided labware definition dict

    :param definition: A dict representing all required data for a labware,
        including metadata such as the display name of the labware, a
        definition of the order to iterate over wells, the shape of wells
        (shape, physical dimensions, etc), and so on. The correct shape of
        this definition is governed by the ""labware-designer"" project in
        the Opentrons/opentrons repo.
    :param parent: A :py:class:`.Location` representing the location where
                   the front and left most point of the outside of labware is
                   (often the front-left corner of a slot on the deck).
    :param str label: An optional label that will override the labware's
                      display name from its definition
    """"""
    from opentrons.protocol_api import load_labware_from_definition
    return load_labware_from_definition(definition, parent, label)
"
line4493,4493,,,raw_valid,True,True,True,,,,607,607,349,459,,,,"def update_service(name, service_map):
    """"""Get an update from the specified service.

    Arguments:
      name (:py:class:`str`): The name of the service.
      service_map (:py:class:`dict`): A mapping of service names to
        :py:class:`flash.service.core.Service` instances.

    Returns:
      :py:class:`dict`: The updated data.

    """"""","
    if name in service_map:
        service = service_map[name]
        data = service.update()
        if not data:
            logger.warning('no data received for service: %s', name)
        else:
            data['service_name'] = service.service_name
            CACHE[name] = dict(data=data, updated=datetime.now())
    else:
        logger.warning('service not found: %s', name)
    if name in CACHE:
        return add_time(CACHE[name])
    return {}","
    try:
        service = service_map[name]
    except KeyError:
        raise KeyError(f""Service '{name}' not found in service_map"")
    if hasattr(service, ""get_update"") and callable(service.get_update):
        data = service.get_update()
    elif hasattr(service, ""update"") and callable(service.update):
        data = service.update()
    else:
        raise AttributeError(f""Service '{name}' has no method to retrieve update"")
    if not isinstance(data, dict):
        raise TypeError(
            f""Update from service '{name}' must be a dict, got {type(data).__name__}""
        )
    return data
","
    try:
        service = service_map[name]
    except KeyError:
        raise KeyError(f""Service '{name}' not found in service_map"")
    if hasattr(service, ""get_update"") and callable(service.get_update):
        data = service.get_update()
    elif hasattr(service, ""update"") and callable(service.update):
        data = service.update()
    else:
        raise AttributeError(f""Service '{name}' has no method to retrieve update"")
    if not isinstance(data, dict):
        raise TypeError(
            f""Update from service '{name}' must be a dict, got {type(data).__name__}""
        )
    return data
","def update_service(name, service_map):
    """"""Get an update from the specified service.

    Arguments:
      name (:py:class:`str`): The name of the service.
      service_map (:py:class:`dict`): A mapping of service names to
        :py:class:`flash.service.core.Service` instances.

    Returns:
      :py:class:`dict`: The updated data.

    """"""
    if name in service_map:
        service = service_map[name]
        data = service.update()
        if not data:
            logger.warning('no data received for service: %s', name)
        else:
            data['service_name'] = service.service_name
            CACHE[name] = dict(data=data, updated=datetime.now())
    else:
        logger.warning('service not found: %s', name)
    if name in CACHE:
        return add_time(CACHE[name])
    return {}
","def update_service(name, service_map):
    """"""Get an update from the specified service.

    Arguments:
      name (:py:class:`str`): The name of the service.
      service_map (:py:class:`dict`): A mapping of service names to
        :py:class:`flash.service.core.Service` instances.

    Returns:
      :py:class:`dict`: The updated data.

    """"""
    try:
        service = service_map[name]
    except KeyError:
        raise KeyError(f""Service '{name}' not found in service_map"")
    if hasattr(service, ""get_update"") and callable(service.get_update):
        data = service.get_update()
    elif hasattr(service, ""update"") and callable(service.update):
        data = service.update()
    else:
        raise AttributeError(f""Service '{name}' has no method to retrieve update"")
    if not isinstance(data, dict):
        raise TypeError(
            f""Update from service '{name}' must be a dict, got {type(data).__name__}""
        )
    return data
"
line4233,4233,,,raw_valid,True,True,True,,,,92,92,328,438,,,,"def login_required(func):
    """"""
    A wrapper around the flask_login.login_required.
    But it also checks the presence of the decorator: @login_not_required
    On a ""@login_required"" class, method containing ""@login_not_required"" will
    still be able to access without authentication
    :param func:
    :return:
    """"""","
    if inspect.isclass(func):
        apply_function_to_members(func, login_required)
        return func
    else:
        @functools.wraps(func)
        def decorated_view(*args, **kwargs):
            if ""login_not_required"" not in utils.get_decorators_list(func) \
                    and not_authenticated():
                return login_manager.unauthorized()
            return func(*args, **kwargs)

        return decorated_view","
    import functools
    import types
    from flask_login import login_required as _flask
","
    import functools
    import types
    from flask_login import login_required as _flask
","def login_required(func):
    """"""
    A wrapper around the flask_login.login_required.
    But it also checks the presence of the decorator: @login_not_required
    On a ""@login_required"" class, method containing ""@login_not_required"" will
    still be able to access without authentication
    :param func:
    :return:
    """"""
    if inspect.isclass(func):
        apply_function_to_members(func, login_required)
        return func
    else:
        @functools.wraps(func)
        def decorated_view(*args, **kwargs):
            if ""login_not_required"" not in utils.get_decorators_list(func) \
                    and not_authenticated():
                return login_manager.unauthorized()
            return func(*args, **kwargs)

        return decorated_view
","def login_required(func):
    """"""
    A wrapper around the flask_login.login_required.
    But it also checks the presence of the decorator: @login_not_required
    On a ""@login_required"" class, method containing ""@login_not_required"" will
    still be able to access without authentication
    :param func:
    :return:
    """"""
    import functools
    import types
    from flask_login import login_required as _flask
"
line4280,4280,,,raw_valid,True,True,True,,,,1,1,174,992,,,,"def parse_update_soa(prs, conn):
    """"""Update SOA serial.

    Arguments:

        prs:  parser object of argparse
        conn: dictionary of connection information
    """"""","
    prs_soa = prs.add_parser('soa', help='update SOA record')
    prs_soa.add_argument('--domain', action='store', required=True,
                         help='specify domain FQDN')
    prs_soa.add_argument('--mname', action='store',
                         help='specify MNAME of SOA record')
    prs_soa.add_argument('--rname', action='store',
                         help='specify RNAME of SOA record')
    prs_soa.add_argument('--refresh', action='store', type=int,
                         help='specify REFRESH of SOA record')
    prs_soa.add_argument('--retry', action='store', type=int,
                         help='specify RETRY of SOA record')
    prs_soa.add_argument('--expire', action='store', type=int,
                         help='specify EXPIRE of SOA record')
    prs_soa.add_argument('--minimum', action='store', type=int,
                         help='specify MINIMUM of SOA record')
    conn_options(prs_soa, conn)
    prs_soa.set_defaults(func=update_soa_serial)","
","
","def parse_update_soa(prs, conn):
    """"""Update SOA serial.

    Arguments:

        prs:  parser object of argparse
        conn: dictionary of connection information
    """"""
    prs_soa = prs.add_parser('soa', help='update SOA record')
    prs_soa.add_argument('--domain', action='store', required=True,
                         help='specify domain FQDN')
    prs_soa.add_argument('--mname', action='store',
                         help='specify MNAME of SOA record')
    prs_soa.add_argument('--rname', action='store',
                         help='specify RNAME of SOA record')
    prs_soa.add_argument('--refresh', action='store', type=int,
                         help='specify REFRESH of SOA record')
    prs_soa.add_argument('--retry', action='store', type=int,
                         help='specify RETRY of SOA record')
    prs_soa.add_argument('--expire', action='store', type=int,
                         help='specify EXPIRE of SOA record')
    prs_soa.add_argument('--minimum', action='store', type=int,
                         help='specify MINIMUM of SOA record')
    conn_options(prs_soa, conn)
    prs_soa.set_defaults(func=update_soa_serial)
","def parse_update_soa(prs, conn):
    """"""Update SOA serial.

    Arguments:

        prs:  parser object of argparse
        conn: dictionary of connection information
    """"""
"
line792,792,,,raw_valid,True,True,True,,,,236,236,233,254,,,,"def absolute_url(relative_url):
    """"""Returns an absolute URL from a URL relative to the server root.

    The base URL is taken from the Flask app config if present, otherwise it
    falls back to ``http://inspirehep.net``.
    """"""","
    default_server = 'http://inspirehep.net'
    server = current_app.config.get('SERVER_NAME', default_server)
    if not re.match('^https?://', server):
        server = u'http://{}'.format(server)
    return urllib.parse.urljoin(server, relative_url)","
    from flask import current_app
    base = current_app.config.get('BASE_URL', 'http://inspirehep.net')
    if not relative_url:
        return base
    if isinstance(relative_url, bytes):
        relative_url = relative_url.decode()
","
    from flask import current_app
    base = current_app.config.get('BASE_URL', 'http://inspirehep.net')
    if not relative_url:
        return base
    if isinstance(relative_url, bytes):
        relative_url = relative_url.decode()
","def absolute_url(relative_url):
    """"""Returns an absolute URL from a URL relative to the server root.

    The base URL is taken from the Flask app config if present, otherwise it
    falls back to ``http://inspirehep.net``.
    """"""
    default_server = 'http://inspirehep.net'
    server = current_app.config.get('SERVER_NAME', default_server)
    if not re.match('^https?://', server):
        server = u'http://{}'.format(server)
    return urllib.parse.urljoin(server, relative_url)
","def absolute_url(relative_url):
    """"""Returns an absolute URL from a URL relative to the server root.

    The base URL is taken from the Flask app config if present, otherwise it
    falls back to ``http://inspirehep.net``.
    """"""
    from flask import current_app
    base = current_app.config.get('BASE_URL', 'http://inspirehep.net')
    if not relative_url:
        return base
    if isinstance(relative_url, bytes):
        relative_url = relative_url.decode()
"
line2085,2085,,,raw_valid,True,True,True,,,,150,150,88,119,,,,"def resource_path(relative):
    """"""Adjust path for executable use in executable file""""""","
    if hasattr(sys, ""_MEIPASS""):
        return os.path.join(sys._MEIPASS, relative)
    return os.path.join(relative)","
    import os, sys
    base_path = getattr(sys, '_MEIPASS', os.path.abspath(os.path.dirname(__file__)))
    return os.path.join(base_path, relative)
","
    import os, sys
    base_path = getattr(sys, '_MEIPASS', os.path.abspath(os.path.dirname(__file__)))
    return os.path.join(base_path, relative)
","def resource_path(relative):
    """"""Adjust path for executable use in executable file""""""
    if hasattr(sys, ""_MEIPASS""):
        return os.path.join(sys._MEIPASS, relative)
    return os.path.join(relative)
","def resource_path(relative):
    """"""Adjust path for executable use in executable file""""""
    import os, sys
    base_path = getattr(sys, '_MEIPASS', os.path.abspath(os.path.dirname(__file__)))
    return os.path.join(base_path, relative)
"
line1167,1167,,,raw_valid,True,True,True,,,,1,1,165,177,,,,"def write_command(self, command: Command):
        """"""Write a command to the stream.

        Args:
            command: The command.

        Coroutine.
        """"""","
        _logger.debug('Write command.')
        data = command.to_bytes()
        yield from self._connection.write(data)
        self._data_event_dispatcher.notify_write(data)","
","
","def write_command(self, command: Command):
        """"""Write a command to the stream.

        Args:
            command: The command.

        Coroutine.
        """"""
        _logger.debug('Write command.')
        data = command.to_bytes()
        yield from self._connection.write(data)
        self._data_event_dispatcher.notify_write(data)
","def write_command(self, command: Command):
        """"""Write a command to the stream.

        Args:
            command: The command.

        Coroutine.
        """"""
"
line3433,3433,,,raw_valid,True,True,True,,,,332,332,180,596,,,,"def disconnectNetToMs(Facility_presence=0, ProgressIndicator_presence=0,
                      UserUser_presence=0, AllowedActions_presence=0):
    """"""DISCONNECT Section 9.3.7.1""""""","
    a = TpPd(pd=0x3)
    b = MessageType(mesType=0x25)  # 00100101
    c = Cause()
    packet = a / b / c
    if Facility_presence is 1:
        d = FacilityHdr(ieiF=0x1C, eightBitF=0x0)
        packet = packet / d
    if ProgressIndicator_presence is 1:
        e = ProgressIndicatorHdr(ieiPI=0x1E, eightBitPI=0x0)
        packet = packet / e
    if UserUser_presence is 1:
        f = UserUserHdr(ieiUU=0x7E, eightBitUU=0x0)
        packet = packet / f
    if AllowedActions_presence is 1:
        g = AllowedActionsHdr(ieiAA=0x7B, eightBitAA=0x0)
        packet = packet / g
    return packet","
    result = {""MessageType"": ""DISCONNECT""}
    if Facility_presence:
        result[""Facility""] = None
    if ProgressIndicator_presence:
        result[""ProgressIndicator""] = None
    if UserUser_presence:
        result[""UserUser""] = None
    if AllowedActions_presence:
        result[""AllowedActions""] = None
    return result
","
    result = {""MessageType"": ""DISCONNECT""}
    if Facility_presence:
        result[""Facility""] = None
    if ProgressIndicator_presence:
        result[""ProgressIndicator""] = None
    if UserUser_presence:
        result[""UserUser""] = None
    if AllowedActions_presence:
        result[""AllowedActions""] = None
    return result
","def disconnectNetToMs(Facility_presence=0, ProgressIndicator_presence=0,
                      UserUser_presence=0, AllowedActions_presence=0):
    """"""DISCONNECT Section 9.3.7.1""""""
    a = TpPd(pd=0x3)
    b = MessageType(mesType=0x25)  # 00100101
    c = Cause()
    packet = a / b / c
    if Facility_presence is 1:
        d = FacilityHdr(ieiF=0x1C, eightBitF=0x0)
        packet = packet / d
    if ProgressIndicator_presence is 1:
        e = ProgressIndicatorHdr(ieiPI=0x1E, eightBitPI=0x0)
        packet = packet / e
    if UserUser_presence is 1:
        f = UserUserHdr(ieiUU=0x7E, eightBitUU=0x0)
        packet = packet / f
    if AllowedActions_presence is 1:
        g = AllowedActionsHdr(ieiAA=0x7B, eightBitAA=0x0)
        packet = packet / g
    return packet
","def disconnectNetToMs(Facility_presence=0, ProgressIndicator_presence=0,
                      UserUser_presence=0, AllowedActions_presence=0):
    """"""DISCONNECT Section 9.3.7.1""""""
    result = {""MessageType"": ""DISCONNECT""}
    if Facility_presence:
        result[""Facility""] = None
    if ProgressIndicator_presence:
        result[""ProgressIndicator""] = None
    if UserUser_presence:
        result[""UserUser""] = None
    if AllowedActions_presence:
        result[""AllowedActions""] = None
    return result
"
line1726,1726,,,raw_valid,True,True,True,,,,156,156,95,2141,,,,"def noun_chunks(obj):
    """"""
    Detect base noun phrases. Works on both Doc and Span.
    """"""","
    # It follows the logic of the noun chunks finder of English language,
    # adjusted to some Greek language special characteristics.
    # obj tag corrects some DEP tagger mistakes.
    # Further improvement of the models will eliminate the need for this tag.
    labels = [""nsubj"", ""obj"", ""iobj"", ""appos"", ""ROOT"", ""obl""]
    doc = obj.doc  # Ensure works on both Doc and Span.
    np_deps = [doc.vocab.strings.add(label) for label in labels]
    conj = doc.vocab.strings.add(""conj"")
    nmod = doc.vocab.strings.add(""nmod"")
    np_label = doc.vocab.strings.add(""NP"")
    seen = set()
    for i, word in enumerate(obj):
        if word.pos not in (NOUN, PROPN, PRON):
            continue
        # Prevent nested chunks from being produced
        if word.i in seen:
            continue
        if word.dep in np_deps:
            if any(w.i in seen for w in word.subtree):
                continue
            flag = False
            if word.pos == NOUN:
                #  check for patterns such as γραμμή παραγωγής
                for potential_nmod in word.rights:
                    if potential_nmod.dep == nmod:
                        seen.update(
                            j for j in range(word.left_edge.i, potential_nmod.i + 1)
                        )
                        yield word.left_edge.i, potential_nmod.i + 1, np_label
                        flag = True
                        break
            if flag is False:
                seen.update(j for j in range(word.left_edge.i, word.i + 1))
                yield word.left_edge.i, word.i + 1, np_label
        elif word.dep == conj:
            # covers the case: έχει όμορφα και έξυπνα παιδιά
            head = word.head
            while head.dep == conj and head.head.i < head.i:
                head = head.head
            # If the head is an NP, and we're coordinated to it, we're an NP
            if head.dep in np_deps:
                if any(w.i in seen for w in word.subtree):
                    continue
                seen.update(j for j in range(word.left_edge.i, word.i + 1))
                yield word.left_edge.i, word.i + 1, np_label","
    if not hasattr(obj, ""noun_chunks""):
        raise TypeError(""obj must be a spaCy Doc or Span with a noun_chunks attribute"")
    return obj.noun_chunks
","
    if not hasattr(obj, ""noun_chunks""):
        raise TypeError(""obj must be a spaCy Doc or Span with a noun_chunks attribute"")
    return obj.noun_chunks
","def noun_chunks(obj):
    """"""
    Detect base noun phrases. Works on both Doc and Span.
    """"""
    # It follows the logic of the noun chunks finder of English language,
    # adjusted to some Greek language special characteristics.
    # obj tag corrects some DEP tagger mistakes.
    # Further improvement of the models will eliminate the need for this tag.
    labels = [""nsubj"", ""obj"", ""iobj"", ""appos"", ""ROOT"", ""obl""]
    doc = obj.doc  # Ensure works on both Doc and Span.
    np_deps = [doc.vocab.strings.add(label) for label in labels]
    conj = doc.vocab.strings.add(""conj"")
    nmod = doc.vocab.strings.add(""nmod"")
    np_label = doc.vocab.strings.add(""NP"")
    seen = set()
    for i, word in enumerate(obj):
        if word.pos not in (NOUN, PROPN, PRON):
            continue
        # Prevent nested chunks from being produced
        if word.i in seen:
            continue
        if word.dep in np_deps:
            if any(w.i in seen for w in word.subtree):
                continue
            flag = False
            if word.pos == NOUN:
                #  check for patterns such as γραμμή παραγωγής
                for potential_nmod in word.rights:
                    if potential_nmod.dep == nmod:
                        seen.update(
                            j for j in range(word.left_edge.i, potential_nmod.i + 1)
                        )
                        yield word.left_edge.i, potential_nmod.i + 1, np_label
                        flag = True
                        break
            if flag is False:
                seen.update(j for j in range(word.left_edge.i, word.i + 1))
                yield word.left_edge.i, word.i + 1, np_label
        elif word.dep == conj:
            # covers the case: έχει όμορφα και έξυπνα παιδιά
            head = word.head
            while head.dep == conj and head.head.i < head.i:
                head = head.head
            # If the head is an NP, and we're coordinated to it, we're an NP
            if head.dep in np_deps:
                if any(w.i in seen for w in word.subtree):
                    continue
                seen.update(j for j in range(word.left_edge.i, word.i + 1))
                yield word.left_edge.i, word.i + 1, np_label
","def noun_chunks(obj):
    """"""
    Detect base noun phrases. Works on both Doc and Span.
    """"""
    if not hasattr(obj, ""noun_chunks""):
        raise TypeError(""obj must be a spaCy Doc or Span with a noun_chunks attribute"")
    return obj.noun_chunks
"
